method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
original-all,0.666,0.711,0.446,0.403,0.577,0.737,0.000
original-group-0,0.652,0.711,0.484,0.495,0.652,0.653,0.488
original-group-1,0.679,0.710,0.409,0.316,0.494,0.807,0.512
original-delta,-0.027,0.001,0.074,0.179,0.158,-0.154,0.158
original-fair_resample-all,0.650,0.714,0.446,0.451,0.613,0.679,0.000
original-fair_resample-group-0,0.625,0.690,0.484,0.511,0.640,0.611,0.488
original-fair_resample-group-1,0.674,0.734,0.409,0.394,0.582,0.737,0.512
original-fair_resample-delta,-0.049,-0.045,0.074,0.117,0.058,-0.126,0.126
adv-clean-all,0.690,0.723,0.446,0.390,0.589,0.770,0.000
adv-clean-group-0,0.641,0.683,0.484,0.473,0.618,0.663,0.488
adv-clean-group-1,0.736,0.754,0.409,0.311,0.557,0.860,0.512
adv-clean-delta,-0.094,-0.071,0.074,0.162,0.061,-0.196,0.196
adv-clean-fair_resample-all,0.642,0.691,0.446,0.443,0.595,0.679,0.000
adv-clean-fair_resample-group-0,0.630,0.688,0.484,0.495,0.629,0.632,0.488
adv-clean-fair_resample-group-1,0.653,0.687,0.409,0.394,0.557,0.719,0.512
adv-clean-fair_resample-delta,-0.022,0.000,0.074,0.101,0.072,-0.088,0.088
adv-all-all,0.578,0.598,0.446,0.406,0.482,0.656,0.000
adv-all-group-0,0.543,0.546,0.484,0.549,0.596,0.495,0.488
adv-all-group-1,0.611,0.633,0.409,0.269,0.354,0.789,0.512
adv-all-delta,-0.068,-0.087,0.074,0.279,0.241,-0.295,0.295
adv-all-fair_resample-all,0.538,0.574,0.446,0.398,0.429,0.627,0.000
adv-all-fair_resample-group-0,0.505,0.539,0.484,0.413,0.416,0.589,0.488
adv-all-fair_resample-group-1,0.570,0.599,0.409,0.383,0.443,0.658,0.512
adv-all-fair_resample-delta,-0.065,-0.060,0.074,0.030,-0.027,-0.068,0.068
adv-konstantinov-all,0.578,0.598,0.446,0.406,0.482,0.656,0.400
adv-konstantinov-group-0,0.543,0.546,0.484,0.549,0.596,0.495,0.488
adv-konstantinov-group-1,0.611,0.633,0.409,0.269,0.354,0.789,0.512
adv-konstantinov-delta,-0.068,-0.087,0.074,0.279,0.241,-0.295,0.295
adv-konstantinov-fair_resample-all,0.554,0.568,0.446,0.414,0.464,0.627,0.000
adv-konstantinov-fair_resample-group-0,0.484,0.476,0.484,0.457,0.438,0.526,0.488
adv-konstantinov-fair_resample-group-1,0.622,0.640,0.409,0.373,0.494,0.711,0.512
adv-konstantinov-fair_resample-delta,-0.138,-0.164,0.074,0.083,-0.055,-0.184,0.184
adv-selected-all,0.690,0.723,0.446,0.390,0.589,0.770,0.000
adv-selected-group-0,0.641,0.683,0.484,0.473,0.618,0.663,0.488
adv-selected-group-1,0.736,0.754,0.409,0.311,0.557,0.860,0.512
adv-selected-delta,-0.094,-0.071,0.074,0.162,0.061,-0.196,0.196
adv-selected-fair_resample-all,0.629,0.699,0.446,0.398,0.530,0.708,0.000
adv-selected-fair_resample-group-0,0.592,0.687,0.484,0.457,0.551,0.632,0.488
adv-selected-fair_resample-group-1,0.663,0.705,0.409,0.342,0.506,0.772,0.512
adv-selected-fair_resample-delta,-0.071,-0.018,0.074,0.115,0.044,-0.140,0.140
adv-voting-all,0.605,0.648,0.446,0.432,0.542,0.656,0.308
adv-voting-group-0,0.554,0.583,0.484,0.582,0.640,0.474,0.488
adv-voting-group-1,0.653,0.691,0.409,0.290,0.430,0.807,0.512
adv-voting-delta,-0.099,-0.108,0.074,0.291,0.210,-0.333,0.333
adv-voting-fair_resample-all,0.584,0.584,0.446,0.411,0.494,0.656,0.260
adv-voting-fair_resample-group-0,0.576,0.549,0.484,0.429,0.506,0.642,0.488
adv-voting-fair_resample-group-1,0.591,0.612,0.409,0.394,0.481,0.667,0.512
adv-voting-fair_resample-delta,-0.015,-0.063,0.074,0.036,0.025,-0.025,0.025
