method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
original-all,0.674,0.747,0.454,0.414,0.596,0.738,0.000
original-group-0,0.644,0.744,0.523,0.603,0.736,0.542,0.462
original-group-1,0.700,0.743,0.394,0.251,0.438,0.870,0.538
original-delta,-0.056,0.002,0.129,0.352,0.299,-0.328,0.328
original-fair_resample-all,0.682,0.728,0.454,0.406,0.596,0.752,0.000
original-fair_resample-group-0,0.672,0.725,0.523,0.483,0.648,0.699,0.462
original-fair_resample-group-1,0.690,0.718,0.394,0.340,0.537,0.789,0.538
original-fair_resample-delta,-0.017,0.007,0.129,0.143,0.111,-0.090,0.111
adv-clean-all,0.676,0.735,0.454,0.422,0.608,0.733,0.000
adv-clean-group-0,0.667,0.723,0.523,0.500,0.659,0.675,0.462
adv-clean-group-1,0.685,0.739,0.394,0.355,0.550,0.772,0.538
adv-clean-delta,-0.018,-0.016,0.129,0.145,0.109,-0.098,0.109
adv-clean-fair_resample-all,0.639,0.699,0.454,0.432,0.579,0.689,0.000
adv-clean-fair_resample-group-0,0.644,0.721,0.523,0.489,0.626,0.663,0.462
adv-clean-fair_resample-group-1,0.635,0.672,0.394,0.384,0.525,0.707,0.538
adv-clean-fair_resample-delta,0.008,0.049,0.129,0.104,0.101,-0.045,0.101
adv-all-all,0.695,0.756,0.454,0.424,0.632,0.748,0.000
adv-all-group-0,0.695,0.770,0.523,0.517,0.703,0.687,0.462
adv-all-group-1,0.695,0.736,0.394,0.345,0.550,0.789,0.538
adv-all-delta,0.001,0.034,0.129,0.172,0.153,-0.102,0.153
adv-all-fair_resample-all,0.637,0.697,0.454,0.430,0.573,0.689,0.000
adv-all-fair_resample-group-0,0.603,0.670,0.523,0.494,0.593,0.614,0.462
adv-all-fair_resample-group-1,0.665,0.708,0.394,0.374,0.550,0.740,0.538
adv-all-fair_resample-delta,-0.062,-0.038,0.129,0.120,0.043,-0.125,0.125
adv-konstantinov-all,0.695,0.756,0.454,0.424,0.632,0.748,0.400
adv-konstantinov-group-0,0.695,0.770,0.523,0.517,0.703,0.687,0.462
adv-konstantinov-group-1,0.695,0.736,0.394,0.345,0.550,0.789,0.538
adv-konstantinov-delta,0.001,0.034,0.129,0.172,0.153,-0.102,0.153
adv-konstantinov-fair_resample-all,0.676,0.732,0.454,0.454,0.643,0.704,0.000
adv-konstantinov-fair_resample-group-0,0.672,0.732,0.523,0.529,0.692,0.651,0.462
adv-konstantinov-fair_resample-group-1,0.680,0.718,0.394,0.389,0.588,0.740,0.538
adv-konstantinov-fair_resample-delta,-0.007,0.014,0.129,0.140,0.105,-0.089,0.105
adv-selected-all,0.676,0.735,0.454,0.422,0.608,0.733,0.000
adv-selected-group-0,0.667,0.723,0.523,0.500,0.659,0.675,0.462
adv-selected-group-1,0.685,0.739,0.394,0.355,0.550,0.772,0.538
adv-selected-delta,-0.018,-0.016,0.129,0.145,0.109,-0.098,0.109
adv-selected-fair_resample-all,0.660,0.723,0.454,0.411,0.579,0.728,0.000
adv-selected-fair_resample-group-0,0.649,0.727,0.523,0.437,0.582,0.723,0.462
adv-selected-fair_resample-group-1,0.670,0.714,0.394,0.389,0.575,0.732,0.538
adv-selected-fair_resample-delta,-0.021,0.013,0.129,0.048,0.007,-0.009,0.009
adv-voting-all,0.639,0.713,0.454,0.401,0.544,0.718,0.395
adv-voting-group-0,0.603,0.690,0.523,0.506,0.604,0.602,0.462
adv-voting-group-1,0.670,0.724,0.394,0.310,0.475,0.797,0.538
adv-voting-delta,-0.067,-0.034,0.129,0.195,0.129,-0.194,0.194
adv-voting-fair_resample-all,0.671,0.720,0.454,0.401,0.579,0.748,0.300
adv-voting-fair_resample-group-0,0.638,0.660,0.523,0.483,0.615,0.663,0.462
adv-voting-fair_resample-group-1,0.700,0.751,0.394,0.330,0.537,0.805,0.538
adv-voting-fair_resample-delta,-0.062,-0.091,0.129,0.153,0.078,-0.142,0.142
