method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
original-all,0.679,0.728,0.483,0.475,0.659,0.697,0.000
original-group-0,0.651,0.696,0.538,0.586,0.720,0.570,0.493
original-group-1,0.707,0.739,0.429,0.366,0.585,0.798,0.507
original-delta,-0.056,-0.043,0.108,0.220,0.135,-0.228,0.228
original-fair_resample-all,0.679,0.725,0.483,0.438,0.621,0.733,0.000
original-fair_resample-group-0,0.667,0.683,0.538,0.527,0.680,0.651,0.493
original-fair_resample-group-1,0.691,0.754,0.429,0.351,0.549,0.798,0.507
original-fair_resample-delta,-0.024,-0.072,0.108,0.176,0.131,-0.147,0.147
adv-clean-all,0.668,0.728,0.483,0.459,0.632,0.703,0.000
adv-clean-group-0,0.651,0.713,0.538,0.597,0.730,0.558,0.493
adv-clean-group-1,0.686,0.728,0.429,0.325,0.512,0.817,0.507
adv-clean-delta,-0.035,-0.015,0.108,0.272,0.218,-0.258,0.258
adv-clean-fair_resample-all,0.639,0.697,0.483,0.440,0.582,0.692,0.000
adv-clean-fair_resample-group-0,0.618,0.668,0.538,0.489,0.600,0.640,0.493
adv-clean-fair_resample-group-1,0.660,0.716,0.429,0.393,0.561,0.734,0.507
adv-clean-fair_resample-delta,-0.041,-0.048,0.108,0.097,0.039,-0.094,0.094
adv-all-all,0.581,0.595,0.483,0.462,0.544,0.615,0.000
adv-all-group-0,0.543,0.559,0.538,0.543,0.580,0.500,0.493
adv-all-group-1,0.618,0.622,0.429,0.382,0.500,0.706,0.507
adv-all-delta,-0.075,-0.063,0.108,0.161,0.080,-0.206,0.206
adv-all-fair_resample-all,0.546,0.571,0.483,0.448,0.495,0.595,0.000
adv-all-fair_resample-group-0,0.505,0.508,0.538,0.473,0.480,0.535,0.493
adv-all-fair_resample-group-1,0.586,0.633,0.429,0.424,0.512,0.642,0.507
adv-all-fair_resample-delta,-0.081,-0.125,0.108,0.049,-0.032,-0.107,0.107
adv-konstantinov-all,0.581,0.595,0.483,0.462,0.544,0.615,0.400
adv-konstantinov-group-0,0.543,0.559,0.538,0.543,0.580,0.500,0.493
adv-konstantinov-group-1,0.618,0.622,0.429,0.382,0.500,0.706,0.507
adv-konstantinov-delta,-0.075,-0.063,0.108,0.161,0.080,-0.206,0.206
adv-konstantinov-fair_resample-all,0.531,0.556,0.483,0.469,0.500,0.559,0.000
adv-konstantinov-fair_resample-group-0,0.527,0.530,0.538,0.495,0.520,0.535,0.493
adv-konstantinov-fair_resample-group-1,0.534,0.570,0.429,0.445,0.476,0.578,0.507
adv-konstantinov-fair_resample-delta,-0.007,-0.040,0.108,0.050,0.044,-0.043,0.044
adv-selected-all,0.679,0.726,0.483,0.448,0.632,0.723,0.000
adv-selected-group-0,0.651,0.674,0.538,0.608,0.740,0.547,0.493
adv-selected-group-1,0.707,0.759,0.429,0.293,0.500,0.862,0.507
adv-selected-delta,-0.056,-0.085,0.108,0.314,0.240,-0.316,0.316
adv-selected-fair_resample-all,0.674,0.734,0.483,0.469,0.648,0.697,0.000
adv-selected-fair_resample-group-0,0.661,0.750,0.538,0.532,0.680,0.640,0.493
adv-selected-fair_resample-group-1,0.686,0.710,0.429,0.408,0.610,0.743,0.507
adv-selected-fair_resample-delta,-0.025,0.040,0.108,0.124,0.070,-0.104,0.104
adv-voting-all,0.592,0.649,0.483,0.446,0.538,0.641,0.286
adv-voting-group-0,0.527,0.574,0.538,0.527,0.550,0.500,0.493
adv-voting-group-1,0.654,0.709,0.429,0.366,0.524,0.752,0.507
adv-voting-delta,-0.128,-0.134,0.108,0.160,0.026,-0.252,0.252
adv-voting-fair_resample-all,0.589,0.620,0.483,0.469,0.560,0.615,0.308
adv-voting-fair_resample-group-0,0.570,0.622,0.538,0.495,0.560,0.581,0.493
adv-voting-fair_resample-group-1,0.607,0.617,0.429,0.445,0.561,0.642,0.507
adv-voting-fair_resample-delta,-0.037,0.005,0.108,0.050,-0.001,-0.061,0.061
