method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
original-all,0.668,0.741,0.469,0.414,0.588,0.740,0.000
original-group-0,0.635,0.693,0.563,0.533,0.649,0.616,0.523
original-group-1,0.706,0.761,0.367,0.283,0.485,0.833,0.477
original-delta,-0.071,-0.068,0.197,0.250,0.164,-0.217,0.217
original-fair_resample-all,0.626,0.686,0.469,0.414,0.542,0.700,0.000
original-fair_resample-group-0,0.640,0.693,0.563,0.477,0.604,0.686,0.523
original-fair_resample-group-1,0.611,0.661,0.367,0.344,0.439,0.711,0.477
original-fair_resample-delta,0.028,0.033,0.197,0.133,0.164,-0.024,0.164
adv-clean-all,0.645,0.692,0.469,0.448,0.599,0.685,0.000
adv-clean-group-0,0.655,0.677,0.563,0.553,0.685,0.616,0.523
adv-clean-group-1,0.633,0.680,0.367,0.333,0.455,0.737,0.477
adv-clean-delta,0.021,-0.002,0.197,0.220,0.230,-0.121,0.230
adv-clean-fair_resample-all,0.613,0.667,0.469,0.385,0.497,0.715,0.000
adv-clean-fair_resample-group-0,0.584,0.654,0.563,0.431,0.514,0.674,0.523
adv-clean-fair_resample-group-1,0.644,0.662,0.367,0.333,0.470,0.746,0.477
adv-clean-fair_resample-delta,-0.061,-0.008,0.197,0.098,0.044,-0.071,0.071
adv-all-all,0.668,0.741,0.469,0.414,0.588,0.740,0.000
adv-all-group-0,0.635,0.693,0.563,0.533,0.649,0.616,0.523
adv-all-group-1,0.706,0.761,0.367,0.283,0.485,0.833,0.477
adv-all-delta,-0.071,-0.068,0.197,0.250,0.164,-0.217,0.217
adv-all-fair_resample-all,0.663,0.697,0.469,0.451,0.621,0.700,0.000
adv-all-fair_resample-group-0,0.629,0.674,0.563,0.497,0.613,0.651,0.523
adv-all-fair_resample-group-1,0.700,0.708,0.367,0.400,0.636,0.737,0.477
adv-all-fair_resample-delta,-0.071,-0.034,0.197,0.097,-0.024,-0.086,0.086
adv-konstantinov-all,0.668,0.741,0.469,0.414,0.588,0.740,0.400
adv-konstantinov-group-0,0.635,0.693,0.563,0.533,0.649,0.616,0.523
adv-konstantinov-group-1,0.706,0.761,0.367,0.283,0.485,0.833,0.477
adv-konstantinov-delta,-0.071,-0.068,0.197,0.250,0.164,-0.217,0.217
adv-konstantinov-fair_resample-all,0.634,0.705,0.469,0.411,0.548,0.710,0.000
adv-konstantinov-fair_resample-group-0,0.609,0.680,0.563,0.467,0.568,0.663,0.523
adv-konstantinov-fair_resample-group-1,0.661,0.719,0.367,0.350,0.515,0.746,0.477
adv-konstantinov-fair_resample-delta,-0.052,-0.039,0.197,0.117,0.052,-0.083,0.083
adv-selected-all,0.668,0.721,0.469,0.382,0.554,0.770,0.333
adv-selected-group-0,0.635,0.672,0.563,0.503,0.622,0.651,0.523
adv-selected-group-1,0.706,0.742,0.367,0.250,0.439,0.860,0.477
adv-selected-delta,-0.071,-0.070,0.197,0.253,0.182,-0.208,0.208
adv-selected-fair_resample-all,0.634,0.696,0.469,0.395,0.531,0.725,0.000
adv-selected-fair_resample-group-0,0.599,0.656,0.563,0.447,0.541,0.674,0.523
adv-selected-fair_resample-group-1,0.672,0.713,0.367,0.339,0.515,0.763,0.477
adv-selected-fair_resample-delta,-0.073,-0.058,0.197,0.108,0.025,-0.089,0.089
adv-voting-all,0.637,0.705,0.469,0.414,0.554,0.710,0.395
adv-voting-group-0,0.629,0.685,0.563,0.518,0.631,0.628,0.523
adv-voting-group-1,0.644,0.697,0.367,0.300,0.424,0.772,0.477
adv-voting-delta,-0.015,-0.012,0.197,0.218,0.206,-0.144,0.206
adv-voting-fair_resample-all,0.647,0.691,0.469,0.451,0.605,0.685,0.403
adv-voting-fair_resample-group-0,0.609,0.656,0.563,0.538,0.631,0.581,0.523
adv-voting-fair_resample-group-1,0.689,0.697,0.367,0.356,0.561,0.763,0.477
adv-voting-fair_resample-delta,-0.080,-0.041,0.197,0.183,0.070,-0.182,0.182
