method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
original-all,0.658,0.731,0.451,0.406,0.571,0.729,0.000
original-group-0,0.634,0.689,0.554,0.522,0.641,0.627,0.493
original-group-1,0.681,0.744,0.351,0.293,0.463,0.798,0.507
original-delta,-0.046,-0.055,0.203,0.228,0.178,-0.172,0.178
original-fair_resample-all,0.650,0.677,0.451,0.440,0.600,0.691,0.000
original-fair_resample-group-0,0.629,0.631,0.554,0.462,0.583,0.687,0.493
original-fair_resample-group-1,0.670,0.705,0.351,0.419,0.627,0.694,0.507
original-fair_resample-delta,-0.041,-0.074,0.203,0.044,-0.044,-0.007,0.044
adv-clean-all,0.660,0.701,0.451,0.440,0.612,0.700,0.000
adv-clean-group-0,0.634,0.662,0.554,0.565,0.680,0.578,0.493
adv-clean-group-1,0.686,0.692,0.351,0.319,0.507,0.782,0.507
adv-clean-delta,-0.051,-0.030,0.203,0.245,0.172,-0.204,0.204
adv-clean-fair_resample-all,0.637,0.675,0.451,0.411,0.553,0.705,0.000
adv-clean-fair_resample-group-0,0.624,0.646,0.554,0.489,0.602,0.651,0.493
adv-clean-fair_resample-group-1,0.649,0.680,0.351,0.335,0.478,0.742,0.507
adv-clean-fair_resample-delta,-0.026,-0.034,0.203,0.154,0.124,-0.091,0.124
adv-all-all,0.541,0.560,0.451,0.475,0.518,0.560,0.000
adv-all-group-0,0.495,0.517,0.554,0.425,0.427,0.578,0.493
adv-all-group-1,0.586,0.655,0.351,0.524,0.657,0.548,0.507
adv-all-delta,-0.092,-0.139,0.203,-0.099,-0.230,0.030,0.230
adv-all-fair_resample-all,0.538,0.548,0.451,0.398,0.429,0.628,0.000
adv-all-fair_resample-group-0,0.484,0.512,0.554,0.446,0.437,0.542,0.493
adv-all-fair_resample-group-1,0.592,0.568,0.351,0.351,0.418,0.685,0.507
adv-all-fair_resample-delta,-0.108,-0.057,0.203,0.095,0.019,-0.143,0.143
adv-konstantinov-all,0.541,0.560,0.451,0.475,0.518,0.560,0.400
adv-konstantinov-group-0,0.495,0.517,0.554,0.425,0.427,0.578,0.493
adv-konstantinov-group-1,0.586,0.655,0.351,0.524,0.657,0.548,0.507
adv-konstantinov-delta,-0.092,-0.139,0.203,-0.099,-0.230,0.030,0.230
adv-konstantinov-fair_resample-all,0.562,0.596,0.451,0.464,0.529,0.589,0.000
adv-konstantinov-fair_resample-group-0,0.527,0.547,0.554,0.425,0.456,0.614,0.493
adv-konstantinov-fair_resample-group-1,0.597,0.656,0.351,0.503,0.642,0.573,0.507
adv-konstantinov-fair_resample-delta,-0.070,-0.109,0.203,-0.078,-0.185,0.042,0.185
adv-selected-all,0.639,0.709,0.451,0.451,0.600,0.671,0.000
adv-selected-group-0,0.591,0.642,0.554,0.597,0.670,0.494,0.493
adv-selected-group-1,0.686,0.729,0.351,0.309,0.493,0.790,0.507
adv-selected-delta,-0.094,-0.086,0.203,0.288,0.177,-0.296,0.296
adv-selected-fair_resample-all,0.629,0.696,0.451,0.419,0.553,0.691,0.000
adv-selected-fair_resample-group-0,0.597,0.662,0.554,0.505,0.592,0.602,0.493
adv-selected-fair_resample-group-1,0.660,0.704,0.351,0.335,0.493,0.750,0.507
adv-selected-fair_resample-delta,-0.063,-0.043,0.203,0.170,0.100,-0.148,0.148
adv-voting-all,0.645,0.689,0.451,0.398,0.547,0.725,0.284
adv-voting-group-0,0.613,0.694,0.554,0.392,0.505,0.747,0.493
adv-voting-group-1,0.675,0.708,0.351,0.403,0.612,0.710,0.507
adv-voting-delta,-0.062,-0.015,0.203,-0.011,-0.107,0.037,0.107
adv-voting-fair_resample-all,0.626,0.673,0.451,0.369,0.494,0.734,0.249
adv-voting-fair_resample-group-0,0.570,0.652,0.554,0.306,0.388,0.795,0.493
adv-voting-fair_resample-group-1,0.681,0.733,0.351,0.429,0.657,0.694,0.507
adv-voting-fair_resample-delta,-0.111,-0.081,0.203,-0.123,-0.268,0.102,0.268
