method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
original-all,0.737,0.789,0.395,0.403,0.678,0.776,0.000
original-group-0,0.680,0.727,0.500,0.521,0.701,0.660,0.515
original-group-1,0.798,0.825,0.284,0.279,0.635,0.863,0.485
original-delta,-0.117,-0.098,0.216,0.242,0.066,-0.203,0.203
original-fair_resample-all,0.687,0.730,0.395,0.401,0.611,0.737,0.000
original-fair_resample-group-0,0.629,0.677,0.500,0.510,0.639,0.619,0.515
original-fair_resample-group-1,0.749,0.755,0.284,0.284,0.558,0.824,0.485
original-fair_resample-delta,-0.120,-0.079,0.216,0.226,0.081,-0.206,0.206
adv-clean-all,0.714,0.768,0.395,0.416,0.664,0.746,0.000
adv-clean-group-0,0.675,0.730,0.500,0.505,0.680,0.670,0.515
adv-clean-group-1,0.754,0.795,0.284,0.322,0.635,0.802,0.485
adv-clean-delta,-0.079,-0.065,0.216,0.183,0.046,-0.131,0.131
adv-clean-fair_resample-all,0.663,0.720,0.395,0.387,0.564,0.728,0.000
adv-clean-fair_resample-group-0,0.634,0.691,0.500,0.412,0.546,0.722,0.515
adv-clean-fair_resample-group-1,0.694,0.747,0.284,0.361,0.596,0.733,0.485
adv-clean-fair_resample-delta,-0.060,-0.056,0.216,0.052,-0.050,-0.011,0.050
adv-all-all,0.658,0.726,0.395,0.446,0.631,0.675,0.000
adv-all-group-0,0.582,0.662,0.500,0.639,0.722,0.443,0.515
adv-all-group-1,0.738,0.721,0.284,0.240,0.462,0.847,0.485
adv-all-delta,-0.155,-0.060,0.216,0.399,0.260,-0.404,0.404
adv-all-fair_resample-all,0.637,0.707,0.395,0.451,0.611,0.654,0.000
adv-all-fair_resample-group-0,0.608,0.696,0.500,0.521,0.629,0.588,0.515
adv-all-fair_resample-group-1,0.667,0.699,0.284,0.377,0.577,0.702,0.485
adv-all-fair_resample-delta,-0.058,-0.003,0.216,0.144,0.052,-0.115,0.115
adv-konstantinov-all,0.658,0.726,0.395,0.446,0.631,0.675,0.400
adv-konstantinov-group-0,0.582,0.662,0.500,0.639,0.722,0.443,0.515
adv-konstantinov-group-1,0.738,0.721,0.284,0.240,0.462,0.847,0.485
adv-konstantinov-delta,-0.155,-0.060,0.216,0.399,0.260,-0.404,0.404
adv-konstantinov-fair_resample-all,0.650,0.693,0.395,0.443,0.617,0.671,0.000
adv-konstantinov-fair_resample-group-0,0.613,0.682,0.500,0.526,0.639,0.588,0.515
adv-konstantinov-fair_resample-group-1,0.689,0.684,0.284,0.355,0.577,0.733,0.485
adv-konstantinov-fair_resample-delta,-0.075,-0.001,0.216,0.171,0.062,-0.145,0.145
adv-selected-all,0.714,0.768,0.395,0.416,0.664,0.746,0.000
adv-selected-group-0,0.675,0.730,0.500,0.505,0.680,0.670,0.515
adv-selected-group-1,0.754,0.795,0.284,0.322,0.635,0.802,0.485
adv-selected-delta,-0.079,-0.065,0.216,0.183,0.046,-0.131,0.131
adv-selected-fair_resample-all,0.647,0.714,0.395,0.403,0.564,0.702,0.000
adv-selected-fair_resample-group-0,0.593,0.696,0.500,0.495,0.588,0.598,0.515
adv-selected-fair_resample-group-1,0.705,0.720,0.284,0.306,0.519,0.779,0.485
adv-selected-fair_resample-delta,-0.112,-0.024,0.216,0.189,0.068,-0.181,0.181
adv-voting-all,0.655,0.733,0.395,0.501,0.698,0.627,0.292
adv-voting-group-0,0.567,0.682,0.500,0.840,0.907,0.227,0.515
adv-voting-group-1,0.749,0.723,0.284,0.142,0.308,0.924,0.485
adv-voting-delta,-0.182,-0.041,0.216,0.698,0.600,-0.697,0.697
adv-voting-fair_resample-all,0.650,0.728,0.395,0.469,0.651,0.649,0.276
adv-voting-fair_resample-group-0,0.572,0.668,0.500,0.784,0.856,0.289,0.515
adv-voting-fair_resample-group-1,0.732,0.731,0.284,0.137,0.269,0.916,0.485
adv-voting-fair_resample-delta,-0.160,-0.063,0.216,0.647,0.586,-0.627,0.627
