method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
original-all,0.674,0.741,0.467,0.443,0.625,0.716,0.000
original-group-0,0.667,0.750,0.549,0.539,0.688,0.641,0.541
original-group-1,0.682,0.708,0.370,0.329,0.516,0.780,0.459
original-delta,-0.015,0.042,0.179,0.210,0.172,-0.139,0.172
original-fair_resample-all,0.671,0.725,0.467,0.408,0.585,0.746,0.000
original-fair_resample-group-0,0.652,0.716,0.549,0.466,0.607,0.707,0.541
original-fair_resample-group-1,0.694,0.712,0.370,0.341,0.547,0.780,0.459
original-fair_resample-delta,-0.042,0.004,0.179,0.125,0.060,-0.073,0.073
adv-clean-all,0.631,0.716,0.467,0.416,0.551,0.701,0.000
adv-clean-group-0,0.623,0.700,0.549,0.495,0.607,0.641,0.541
adv-clean-group-1,0.642,0.701,0.370,0.324,0.453,0.752,0.459
adv-clean-delta,-0.019,-0.001,0.179,0.171,0.154,-0.111,0.154
adv-clean-fair_resample-all,0.658,0.699,0.467,0.438,0.602,0.706,0.000
adv-clean-fair_resample-group-0,0.642,0.699,0.549,0.485,0.616,0.674,0.541
adv-clean-fair_resample-group-1,0.676,0.679,0.370,0.382,0.578,0.734,0.459
adv-clean-fair_resample-delta,-0.034,0.019,0.179,0.104,0.038,-0.060,0.060
adv-all-all,0.679,0.744,0.467,0.454,0.642,0.711,0.000
adv-all-group-0,0.681,0.756,0.549,0.534,0.696,0.663,0.541
adv-all-group-1,0.676,0.710,0.370,0.358,0.547,0.752,0.459
adv-all-delta,0.005,0.045,0.179,0.176,0.150,-0.089,0.150
adv-all-fair_resample-all,0.642,0.721,0.467,0.416,0.562,0.711,0.000
adv-all-fair_resample-group-0,0.627,0.710,0.549,0.471,0.589,0.674,0.541
adv-all-fair_resample-group-1,0.659,0.710,0.370,0.353,0.516,0.743,0.459
adv-all-fair_resample-delta,-0.032,-0.000,0.179,0.118,0.074,-0.069,0.074
adv-konstantinov-all,0.679,0.744,0.467,0.454,0.642,0.711,0.400
adv-konstantinov-group-0,0.681,0.756,0.549,0.534,0.696,0.663,0.541
adv-konstantinov-group-1,0.676,0.710,0.370,0.358,0.547,0.752,0.459
adv-konstantinov-delta,0.005,0.045,0.179,0.176,0.150,-0.089,0.150
adv-konstantinov-fair_resample-all,0.682,0.721,0.467,0.414,0.602,0.751,0.000
adv-konstantinov-fair_resample-group-0,0.686,0.735,0.549,0.461,0.634,0.750,0.541
adv-konstantinov-fair_resample-group-1,0.676,0.698,0.370,0.358,0.547,0.752,0.459
adv-konstantinov-fair_resample-delta,0.010,0.037,0.179,0.102,0.087,-0.002,0.087
adv-selected-all,0.631,0.716,0.467,0.416,0.551,0.701,0.000
adv-selected-group-0,0.623,0.700,0.549,0.495,0.607,0.641,0.541
adv-selected-group-1,0.642,0.701,0.370,0.324,0.453,0.752,0.459
adv-selected-delta,-0.019,-0.001,0.179,0.171,0.154,-0.111,0.154
adv-selected-fair_resample-all,0.663,0.720,0.467,0.438,0.608,0.711,0.000
adv-selected-fair_resample-group-0,0.618,0.674,0.549,0.520,0.625,0.609,0.541
adv-selected-fair_resample-group-1,0.717,0.733,0.370,0.341,0.578,0.798,0.459
adv-selected-fair_resample-delta,-0.099,-0.059,0.179,0.179,0.047,-0.189,0.189
adv-voting-all,0.690,0.757,0.467,0.427,0.625,0.746,0.337
adv-voting-group-0,0.686,0.750,0.549,0.529,0.696,0.674,0.541
adv-voting-group-1,0.694,0.736,0.370,0.306,0.500,0.807,0.459
adv-voting-delta,-0.007,0.014,0.179,0.223,0.196,-0.133,0.196
adv-voting-fair_resample-all,0.674,0.753,0.467,0.448,0.631,0.711,0.401
adv-voting-fair_resample-group-0,0.667,0.766,0.549,0.520,0.670,0.663,0.541
adv-voting-fair_resample-group-1,0.682,0.720,0.370,0.364,0.562,0.752,0.459
adv-voting-fair_resample-delta,-0.015,0.045,0.179,0.155,0.107,-0.089,0.107
