method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
original-all,0.705,0.698,0.675,0.760,0.844,0.415,0.000
original-group-0,0.705,0.707,0.678,0.785,0.861,0.375,0.745
original-group-1,0.706,0.689,0.667,0.686,0.794,0.529,0.255
original-delta,-0.001,0.018,0.011,0.099,0.067,-0.154,0.154
original-fair_resample-all,0.650,0.637,0.675,0.765,0.807,0.323,0.000
original-fair_resample-group-0,0.658,0.662,0.678,0.765,0.812,0.333,0.745
original-fair_resample-group-1,0.627,0.566,0.667,0.765,0.794,0.294,0.255
original-fair_resample-delta,0.030,0.096,0.011,0.000,0.018,0.039,0.039
adv-clean-all,0.650,0.636,0.675,0.725,0.778,0.385,0.000
adv-clean-group-0,0.678,0.644,0.678,0.785,0.842,0.333,0.745
adv-clean-group-1,0.569,0.635,0.667,0.549,0.588,0.529,0.255
adv-clean-delta,0.109,0.009,0.011,0.236,0.253,-0.196,0.253
adv-clean-fair_resample-all,0.655,0.624,0.675,0.730,0.785,0.385,0.000
adv-clean-fair_resample-group-0,0.658,0.624,0.678,0.738,0.792,0.375,0.745
adv-clean-fair_resample-group-1,0.647,0.625,0.667,0.706,0.765,0.412,0.255
adv-clean-fair_resample-delta,0.011,-0.001,0.011,0.032,0.027,-0.037,0.037
adv-all-all,0.665,0.675,0.675,0.720,0.785,0.415,0.000
adv-all-group-0,0.664,0.695,0.678,0.664,0.743,0.500,0.745
adv-all-group-1,0.667,0.649,0.667,0.882,0.912,0.176,0.255
adv-all-delta,-0.002,0.046,0.011,-0.218,-0.169,0.324,0.324
adv-all-fair_resample-all,0.650,0.610,0.675,0.735,0.785,0.369,0.000
adv-all-fair_resample-group-0,0.658,0.623,0.678,0.738,0.792,0.375,0.745
adv-all-fair_resample-group-1,0.627,0.569,0.667,0.725,0.765,0.353,0.255
adv-all-fair_resample-delta,0.030,0.054,0.011,0.013,0.027,0.022,0.027
adv-konstantinov-all,0.665,0.675,0.675,0.720,0.785,0.415,0.400
adv-konstantinov-group-0,0.664,0.695,0.678,0.664,0.743,0.500,0.745
adv-konstantinov-group-1,0.667,0.649,0.667,0.882,0.912,0.176,0.255
adv-konstantinov-delta,-0.002,0.046,0.011,-0.218,-0.169,0.324,0.324
adv-konstantinov-fair_resample-all,0.650,0.670,0.675,0.725,0.778,0.385,0.000
adv-konstantinov-fair_resample-group-0,0.651,0.683,0.678,0.732,0.782,0.375,0.745
adv-konstantinov-fair_resample-group-1,0.647,0.631,0.667,0.706,0.765,0.412,0.255
adv-konstantinov-fair_resample-delta,0.004,0.051,0.011,0.026,0.017,-0.037,0.037
adv-selected-all,0.650,0.636,0.675,0.725,0.778,0.385,0.000
adv-selected-group-0,0.678,0.644,0.678,0.785,0.842,0.333,0.745
adv-selected-group-1,0.569,0.635,0.667,0.549,0.588,0.529,0.255
adv-selected-delta,0.109,0.009,0.011,0.236,0.253,-0.196,0.253
adv-selected-fair_resample-all,0.655,0.613,0.675,0.720,0.778,0.400,0.000
adv-selected-fair_resample-group-0,0.658,0.612,0.678,0.738,0.792,0.375,0.745
adv-selected-fair_resample-group-1,0.647,0.606,0.667,0.667,0.735,0.471,0.255
adv-selected-fair_resample-delta,0.011,0.007,0.011,0.072,0.057,-0.096,0.096
adv-voting-all,0.625,0.615,0.675,0.650,0.704,0.462,0.150
adv-voting-group-0,0.604,0.638,0.678,0.537,0.604,0.604,0.745
adv-voting-group-1,0.686,0.630,0.667,0.980,1.000,0.059,0.255
adv-voting-delta,-0.082,0.008,0.011,-0.443,-0.396,0.545,0.545
adv-voting-fair_resample-all,0.625,0.649,0.675,0.610,0.674,0.523,0.335
adv-voting-fair_resample-group-0,0.604,0.664,0.678,0.497,0.574,0.667,0.745
adv-voting-fair_resample-group-1,0.686,0.734,0.667,0.941,0.971,0.118,0.255
adv-voting-fair_resample-delta,-0.082,-0.071,0.011,-0.445,-0.396,0.549,0.549
