method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
original-all,0.705,0.698,0.675,0.760,0.844,0.415,0.000
original-group-0,0.705,0.707,0.678,0.785,0.861,0.375,0.745
original-group-1,0.706,0.689,0.667,0.686,0.794,0.529,0.255
original-delta,-0.001,0.018,0.011,0.099,0.067,-0.154,0.154
original-fair_resample-all,0.650,0.637,0.675,0.765,0.807,0.323,0.000
original-fair_resample-group-0,0.658,0.662,0.678,0.765,0.812,0.333,0.745
original-fair_resample-group-1,0.627,0.566,0.667,0.765,0.794,0.294,0.255
original-fair_resample-delta,0.030,0.096,0.011,0.000,0.018,0.039,0.039
adv-clean-all,0.650,0.636,0.675,0.725,0.778,0.385,0.000
adv-clean-group-0,0.678,0.644,0.678,0.785,0.842,0.333,0.745
adv-clean-group-1,0.569,0.635,0.667,0.549,0.588,0.529,0.255
adv-clean-delta,0.109,0.009,0.011,0.236,0.253,-0.196,0.253
adv-clean-fair_resample-all,0.655,0.624,0.675,0.730,0.785,0.385,0.000
adv-clean-fair_resample-group-0,0.658,0.624,0.678,0.738,0.792,0.375,0.745
adv-clean-fair_resample-group-1,0.647,0.625,0.667,0.706,0.765,0.412,0.255
adv-clean-fair_resample-delta,0.011,-0.001,0.011,0.032,0.027,-0.037,0.037
adv-all-all,0.590,0.583,0.675,0.635,0.667,0.431,0.000
adv-all-group-0,0.644,0.621,0.678,0.752,0.792,0.333,0.745
adv-all-group-1,0.431,0.497,0.667,0.294,0.294,0.706,0.255
adv-all-delta,0.213,0.125,0.011,0.458,0.498,-0.373,0.498
adv-all-fair_resample-all,0.590,0.576,0.675,0.575,0.622,0.523,0.000
adv-all-fair_resample-group-0,0.624,0.587,0.678,0.597,0.663,0.542,0.745
adv-all-fair_resample-group-1,0.490,0.533,0.667,0.510,0.500,0.471,0.255
adv-all-fair_resample-delta,0.134,0.054,0.011,0.088,0.163,0.071,0.163
adv-konstantinov-all,0.590,0.583,0.675,0.635,0.667,0.431,0.400
adv-konstantinov-group-0,0.644,0.621,0.678,0.752,0.792,0.333,0.745
adv-konstantinov-group-1,0.431,0.497,0.667,0.294,0.294,0.706,0.255
adv-konstantinov-delta,0.213,0.125,0.011,0.458,0.498,-0.373,0.498
adv-konstantinov-fair_resample-all,0.540,0.540,0.675,0.555,0.570,0.477,0.000
adv-konstantinov-fair_resample-group-0,0.544,0.567,0.678,0.570,0.584,0.458,0.745
adv-konstantinov-fair_resample-group-1,0.529,0.478,0.667,0.510,0.529,0.529,0.255
adv-konstantinov-fair_resample-delta,0.014,0.089,0.011,0.061,0.055,-0.071,0.071
adv-selected-all,0.650,0.636,0.675,0.725,0.778,0.385,0.000
adv-selected-group-0,0.678,0.644,0.678,0.785,0.842,0.333,0.745
adv-selected-group-1,0.569,0.635,0.667,0.549,0.588,0.529,0.255
adv-selected-delta,0.109,0.009,0.011,0.236,0.253,-0.196,0.253
adv-selected-fair_resample-all,0.655,0.630,0.675,0.740,0.793,0.369,0.000
adv-selected-fair_resample-group-0,0.658,0.627,0.678,0.765,0.812,0.333,0.745
adv-selected-fair_resample-group-1,0.647,0.645,0.667,0.667,0.735,0.471,0.255
adv-selected-fair_resample-delta,0.011,-0.018,0.011,0.098,0.077,-0.137,0.137
adv-voting-all,0.570,0.543,0.675,0.625,0.644,0.415,0.180
adv-voting-group-0,0.631,0.587,0.678,0.685,0.733,0.417,0.745
adv-voting-group-1,0.392,0.407,0.667,0.451,0.382,0.412,0.255
adv-voting-delta,0.239,0.180,0.011,0.234,0.350,0.005,0.350
adv-voting-fair_resample-all,0.625,0.607,0.675,0.670,0.719,0.431,0.310
adv-voting-fair_resample-group-0,0.664,0.644,0.678,0.691,0.762,0.458,0.745
adv-voting-fair_resample-group-1,0.510,0.470,0.667,0.608,0.588,0.353,0.255
adv-voting-fair_resample-delta,0.155,0.174,0.011,0.083,0.174,0.105,0.174
