method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
original-all,0.720,0.702,0.710,0.720,0.810,0.500,0.000
original-group-0,0.719,0.683,0.742,0.711,0.789,0.515,0.640
original-group-1,0.722,0.726,0.653,0.736,0.851,0.480,0.360
original-delta,-0.003,-0.044,0.089,-0.025,-0.062,0.035,0.062
original-fair_resample-all,0.685,0.660,0.710,0.735,0.796,0.414,0.000
original-fair_resample-group-0,0.664,0.653,0.742,0.719,0.758,0.394,0.640
original-fair_resample-group-1,0.722,0.671,0.653,0.764,0.872,0.440,0.360
original-fair_resample-delta,-0.058,-0.018,0.089,-0.045,-0.114,-0.046,0.114
adv-clean-all,0.700,0.712,0.710,0.720,0.796,0.466,0.000
adv-clean-group-0,0.688,0.668,0.742,0.742,0.789,0.394,0.640
adv-clean-group-1,0.722,0.768,0.653,0.681,0.809,0.560,0.360
adv-clean-delta,-0.035,-0.100,0.089,0.062,-0.019,-0.166,0.166
adv-clean-fair_resample-all,0.690,0.686,0.710,0.740,0.803,0.414,0.000
adv-clean-fair_resample-group-0,0.664,0.657,0.742,0.750,0.779,0.333,0.640
adv-clean-fair_resample-group-1,0.736,0.726,0.653,0.722,0.851,0.520,0.360
adv-clean-fair_resample-delta,-0.072,-0.069,0.089,0.028,-0.072,-0.187,0.187
adv-all-all,0.585,0.524,0.710,0.665,0.676,0.362,0.000
adv-all-group-0,0.555,0.489,0.742,0.672,0.653,0.273,0.640
adv-all-group-1,0.639,0.569,0.653,0.653,0.723,0.480,0.360
adv-all-delta,-0.084,-0.079,0.089,0.019,-0.071,-0.207,0.207
adv-all-fair_resample-all,0.565,0.498,0.710,0.635,0.641,0.379,0.000
adv-all-fair_resample-group-0,0.516,0.418,0.742,0.617,0.589,0.303,0.640
adv-all-fair_resample-group-1,0.653,0.635,0.653,0.667,0.745,0.480,0.360
adv-all-fair_resample-delta,-0.137,-0.217,0.089,-0.049,-0.155,-0.177,0.177
adv-konstantinov-all,0.585,0.524,0.710,0.665,0.676,0.362,0.400
adv-konstantinov-group-0,0.555,0.489,0.742,0.672,0.653,0.273,0.640
adv-konstantinov-group-1,0.639,0.569,0.653,0.653,0.723,0.480,0.360
adv-konstantinov-delta,-0.084,-0.079,0.089,0.019,-0.071,-0.207,0.207
adv-konstantinov-fair_resample-all,0.535,0.489,0.710,0.625,0.613,0.345,0.000
adv-konstantinov-fair_resample-group-0,0.508,0.451,0.742,0.609,0.579,0.303,0.640
adv-konstantinov-fair_resample-group-1,0.583,0.551,0.653,0.653,0.681,0.400,0.360
adv-konstantinov-fair_resample-delta,-0.076,-0.100,0.089,-0.043,-0.102,-0.097,0.102
adv-selected-all,0.700,0.712,0.710,0.720,0.796,0.466,0.000
adv-selected-group-0,0.688,0.668,0.742,0.742,0.789,0.394,0.640
adv-selected-group-1,0.722,0.768,0.653,0.681,0.809,0.560,0.360
adv-selected-delta,-0.035,-0.100,0.089,0.062,-0.019,-0.166,0.166
adv-selected-fair_resample-all,0.720,0.717,0.710,0.700,0.796,0.534,0.000
adv-selected-fair_resample-group-0,0.695,0.671,0.742,0.719,0.779,0.455,0.640
adv-selected-fair_resample-group-1,0.764,0.786,0.653,0.667,0.830,0.640,0.360
adv-selected-fair_resample-delta,-0.069,-0.114,0.089,0.052,-0.051,-0.185,0.185
adv-voting-all,0.665,0.615,0.710,0.725,0.775,0.397,0.175
adv-voting-group-0,0.656,0.573,0.742,0.789,0.800,0.242,0.640
adv-voting-group-1,0.681,0.679,0.653,0.611,0.723,0.600,0.360
adv-voting-delta,-0.024,-0.106,0.089,0.178,0.077,-0.358,0.358
adv-voting-fair_resample-all,0.630,0.635,0.710,0.690,0.725,0.397,0.265
adv-voting-fair_resample-group-0,0.648,0.630,0.742,0.656,0.705,0.485,0.640
adv-voting-fair_resample-group-1,0.597,0.665,0.653,0.750,0.766,0.280,0.360
adv-voting-fair_resample-delta,0.051,-0.035,0.089,-0.094,-0.061,0.205,0.205
