method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
original-all,0.780,0.760,0.745,0.765,0.866,0.529,0.000
original-group-0,0.803,0.759,0.776,0.796,0.886,0.515,0.735
original-group-1,0.717,0.746,0.660,0.679,0.800,0.556,0.265
original-delta,0.086,0.013,0.115,0.117,0.086,-0.040,0.086
original-fair_resample-all,0.730,0.718,0.745,0.765,0.832,0.431,0.000
original-fair_resample-group-0,0.735,0.707,0.776,0.769,0.825,0.424,0.735
original-fair_resample-group-1,0.717,0.741,0.660,0.755,0.857,0.444,0.265
original-fair_resample-delta,0.018,-0.035,0.115,0.014,-0.033,-0.020,0.033
adv-clean-all,0.755,0.755,0.745,0.780,0.859,0.451,0.000
adv-clean-group-0,0.776,0.770,0.776,0.810,0.877,0.424,0.735
adv-clean-group-1,0.698,0.716,0.660,0.698,0.800,0.500,0.265
adv-clean-delta,0.077,0.054,0.115,0.111,0.077,-0.076,0.077
adv-clean-fair_resample-all,0.785,0.767,0.745,0.730,0.846,0.608,0.000
adv-clean-fair_resample-group-0,0.776,0.753,0.776,0.755,0.842,0.545,0.735
adv-clean-fair_resample-group-1,0.811,0.802,0.660,0.660,0.857,0.722,0.265
adv-clean-fair_resample-delta,-0.036,-0.049,0.115,0.095,-0.015,-0.177,0.177
adv-all-all,0.780,0.760,0.745,0.765,0.866,0.529,0.000
adv-all-group-0,0.803,0.759,0.776,0.796,0.886,0.515,0.735
adv-all-group-1,0.717,0.746,0.660,0.679,0.800,0.556,0.265
adv-all-delta,0.086,0.013,0.115,0.117,0.086,-0.040,0.086
adv-all-fair_resample-all,0.735,0.717,0.745,0.750,0.826,0.471,0.000
adv-all-fair_resample-group-0,0.755,0.700,0.776,0.762,0.833,0.485,0.735
adv-all-fair_resample-group-1,0.679,0.744,0.660,0.717,0.800,0.444,0.265
adv-all-fair_resample-delta,0.076,-0.044,0.115,0.045,0.033,0.040,0.040
adv-konstantinov-all,0.780,0.760,0.745,0.765,0.866,0.529,0.400
adv-konstantinov-group-0,0.803,0.759,0.776,0.796,0.886,0.515,0.735
adv-konstantinov-group-1,0.717,0.746,0.660,0.679,0.800,0.556,0.265
adv-konstantinov-delta,0.086,0.013,0.115,0.117,0.086,-0.040,0.086
adv-konstantinov-fair_resample-all,0.700,0.670,0.745,0.715,0.779,0.471,0.000
adv-konstantinov-fair_resample-group-0,0.701,0.670,0.776,0.721,0.772,0.455,0.735
adv-konstantinov-fair_resample-group-1,0.698,0.671,0.660,0.698,0.800,0.500,0.265
adv-konstantinov-fair_resample-delta,0.003,-0.002,0.115,0.023,-0.028,-0.045,0.045
adv-selected-all,0.745,0.739,0.745,0.780,0.852,0.431,0.333
adv-selected-group-0,0.741,0.732,0.776,0.803,0.851,0.364,0.735
adv-selected-group-1,0.755,0.740,0.660,0.717,0.857,0.556,0.265
adv-selected-delta,-0.013,-0.008,0.115,0.086,-0.006,-0.192,0.192
adv-selected-fair_resample-all,0.730,0.749,0.745,0.735,0.812,0.490,0.000
adv-selected-fair_resample-group-0,0.721,0.758,0.776,0.728,0.789,0.485,0.735
adv-selected-fair_resample-group-1,0.755,0.744,0.660,0.755,0.886,0.500,0.265
adv-selected-fair_resample-delta,-0.034,0.014,0.115,-0.027,-0.096,-0.015,0.096
adv-voting-all,0.790,0.787,0.745,0.825,0.913,0.431,0.380
adv-voting-group-0,0.823,0.803,0.776,0.830,0.921,0.485,0.735
adv-voting-group-1,0.698,0.727,0.660,0.811,0.886,0.333,0.265
adv-voting-delta,0.125,0.076,0.115,0.019,0.035,0.152,0.152
adv-voting-fair_resample-all,0.760,0.793,0.745,0.795,0.872,0.431,0.420
adv-voting-fair_resample-group-0,0.776,0.792,0.776,0.810,0.877,0.424,0.735
adv-voting-fair_resample-group-1,0.717,0.784,0.660,0.755,0.857,0.444,0.265
adv-voting-fair_resample-delta,0.059,0.008,0.115,0.055,0.020,-0.020,0.020
