method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
original-all,0.705,0.698,0.675,0.760,0.844,0.415,0.000
original-group-0,0.705,0.707,0.678,0.785,0.861,0.375,0.745
original-group-1,0.706,0.689,0.667,0.686,0.794,0.529,0.255
original-delta,-0.001,0.018,0.011,0.099,0.067,-0.154,0.154
original-fair_resample-all,0.650,0.637,0.675,0.765,0.807,0.323,0.000
original-fair_resample-group-0,0.658,0.662,0.678,0.765,0.812,0.333,0.745
original-fair_resample-group-1,0.627,0.566,0.667,0.765,0.794,0.294,0.255
original-fair_resample-delta,0.030,0.096,0.011,0.000,0.018,0.039,0.039
adv-clean-all,0.650,0.636,0.675,0.725,0.778,0.385,0.000
adv-clean-group-0,0.678,0.644,0.678,0.785,0.842,0.333,0.745
adv-clean-group-1,0.569,0.635,0.667,0.549,0.588,0.529,0.255
adv-clean-delta,0.109,0.009,0.011,0.236,0.253,-0.196,0.253
adv-clean-fair_resample-all,0.655,0.624,0.675,0.730,0.785,0.385,0.000
adv-clean-fair_resample-group-0,0.658,0.624,0.678,0.738,0.792,0.375,0.745
adv-clean-fair_resample-group-1,0.647,0.625,0.667,0.706,0.765,0.412,0.255
adv-clean-fair_resample-delta,0.011,-0.001,0.011,0.032,0.027,-0.037,0.037
adv-all-all,0.630,0.601,0.675,0.685,0.733,0.415,0.000
adv-all-group-0,0.671,0.637,0.678,0.779,0.832,0.333,0.745
adv-all-group-1,0.510,0.566,0.667,0.412,0.441,0.647,0.255
adv-all-delta,0.161,0.072,0.011,0.367,0.391,-0.314,0.391
adv-all-fair_resample-all,0.600,0.624,0.675,0.595,0.644,0.508,0.000
adv-all-fair_resample-group-0,0.624,0.645,0.678,0.651,0.703,0.458,0.745
adv-all-fair_resample-group-1,0.529,0.562,0.667,0.431,0.471,0.647,0.255
adv-all-fair_resample-delta,0.095,0.083,0.011,0.220,0.232,-0.189,0.232
adv-konstantinov-all,0.630,0.601,0.675,0.685,0.733,0.415,0.400
adv-konstantinov-group-0,0.671,0.637,0.678,0.779,0.832,0.333,0.745
adv-konstantinov-group-1,0.510,0.566,0.667,0.412,0.441,0.647,0.255
adv-konstantinov-delta,0.161,0.072,0.011,0.367,0.391,-0.314,0.391
adv-konstantinov-fair_resample-all,0.600,0.653,0.675,0.555,0.615,0.569,0.000
adv-konstantinov-fair_resample-group-0,0.597,0.658,0.678,0.584,0.634,0.521,0.745
adv-konstantinov-fair_resample-group-1,0.608,0.657,0.667,0.471,0.559,0.706,0.255
adv-konstantinov-fair_resample-delta,-0.011,0.000,0.011,0.113,0.075,-0.185,0.185
adv-selected-all,0.650,0.636,0.675,0.725,0.778,0.385,0.000
adv-selected-group-0,0.678,0.644,0.678,0.785,0.842,0.333,0.745
adv-selected-group-1,0.569,0.635,0.667,0.549,0.588,0.529,0.255
adv-selected-delta,0.109,0.009,0.011,0.236,0.253,-0.196,0.253
adv-selected-fair_resample-all,0.690,0.663,0.675,0.725,0.807,0.446,0.000
adv-selected-fair_resample-group-0,0.691,0.683,0.678,0.758,0.832,0.396,0.745
adv-selected-fair_resample-group-1,0.686,0.633,0.667,0.627,0.735,0.588,0.255
adv-selected-fair_resample-delta,0.005,0.049,0.011,0.131,0.096,-0.192,0.192
adv-voting-all,0.620,0.620,0.675,0.775,0.793,0.262,0.445
adv-voting-group-0,0.671,0.668,0.678,0.940,0.950,0.083,0.745
adv-voting-group-1,0.471,0.559,0.667,0.294,0.324,0.765,0.255
adv-voting-delta,0.201,0.110,0.011,0.645,0.627,-0.681,0.681
adv-voting-fair_resample-all,0.600,0.643,0.675,0.665,0.696,0.400,0.345
adv-voting-fair_resample-group-0,0.624,0.655,0.678,0.745,0.772,0.312,0.745
adv-voting-fair_resample-group-1,0.529,0.642,0.667,0.431,0.471,0.647,0.255
adv-voting-fair_resample-delta,0.095,0.013,0.011,0.314,0.302,-0.335,0.335
