method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
original-all,0.730,0.734,0.705,0.745,0.837,0.475,0.000
original-group-0,0.728,0.733,0.735,0.735,0.815,0.487,0.735
original-group-1,0.736,0.735,0.623,0.774,0.909,0.450,0.265
original-delta,-0.008,-0.002,0.112,-0.039,-0.094,0.037,0.094
original-fair_resample-all,0.700,0.693,0.705,0.775,0.837,0.373,0.000
original-fair_resample-group-0,0.721,0.710,0.735,0.741,0.815,0.462,0.735
original-fair_resample-group-1,0.642,0.691,0.623,0.868,0.909,0.200,0.265
original-fair_resample-delta,0.080,0.019,0.112,-0.126,-0.094,0.262,0.262
adv-clean-all,0.715,0.721,0.705,0.740,0.823,0.458,0.000
adv-clean-group-0,0.741,0.745,0.735,0.735,0.824,0.513,0.735
adv-clean-group-1,0.642,0.672,0.623,0.755,0.818,0.350,0.265
adv-clean-delta,0.100,0.073,0.112,-0.020,0.006,0.163,0.163
adv-clean-fair_resample-all,0.670,0.668,0.705,0.735,0.787,0.390,0.000
adv-clean-fair_resample-group-0,0.680,0.678,0.735,0.701,0.759,0.462,0.735
adv-clean-fair_resample-group-1,0.642,0.664,0.623,0.830,0.879,0.250,0.265
adv-clean-fair_resample-delta,0.039,0.014,0.112,-0.130,-0.120,0.212,0.212
adv-all-all,0.725,0.716,0.705,0.750,0.837,0.458,0.000
adv-all-group-0,0.728,0.725,0.735,0.721,0.806,0.513,0.735
adv-all-group-1,0.717,0.698,0.623,0.830,0.939,0.350,0.265
adv-all-delta,0.011,0.027,0.112,-0.109,-0.134,0.163,0.163
adv-all-fair_resample-all,0.685,0.680,0.705,0.720,0.787,0.441,0.000
adv-all-fair_resample-group-0,0.714,0.719,0.735,0.680,0.769,0.564,0.735
adv-all-fair_resample-group-1,0.604,0.621,0.623,0.830,0.848,0.200,0.265
adv-all-fair_resample-delta,0.111,0.098,0.112,-0.150,-0.080,0.364,0.364
adv-konstantinov-all,0.725,0.716,0.705,0.750,0.837,0.458,0.400
adv-konstantinov-group-0,0.728,0.725,0.735,0.721,0.806,0.513,0.735
adv-konstantinov-group-1,0.717,0.698,0.623,0.830,0.939,0.350,0.265
adv-konstantinov-delta,0.011,0.027,0.112,-0.109,-0.134,0.163,0.163
adv-konstantinov-fair_resample-all,0.650,0.639,0.705,0.745,0.780,0.339,0.000
adv-konstantinov-fair_resample-group-0,0.653,0.642,0.735,0.714,0.750,0.385,0.735
adv-konstantinov-fair_resample-group-1,0.642,0.655,0.623,0.830,0.879,0.250,0.265
adv-konstantinov-fair_resample-delta,0.012,-0.013,0.112,-0.116,-0.129,0.135,0.135
adv-selected-all,0.675,0.686,0.705,0.720,0.780,0.424,0.000
adv-selected-group-0,0.701,0.687,0.735,0.694,0.769,0.513,0.735
adv-selected-group-1,0.604,0.691,0.623,0.792,0.818,0.250,0.265
adv-selected-delta,0.097,-0.004,0.112,-0.099,-0.050,0.263,0.263
adv-selected-fair_resample-all,0.685,0.640,0.705,0.790,0.837,0.322,0.000
adv-selected-fair_resample-group-0,0.694,0.635,0.735,0.769,0.815,0.359,0.735
adv-selected-fair_resample-group-1,0.660,0.679,0.623,0.849,0.909,0.250,0.265
adv-selected-fair_resample-delta,0.034,-0.044,0.112,-0.080,-0.094,0.109,0.109
adv-voting-all,0.730,0.735,0.705,0.745,0.837,0.475,0.375
adv-voting-group-0,0.748,0.750,0.735,0.714,0.815,0.564,0.735
adv-voting-group-1,0.679,0.770,0.623,0.830,0.909,0.300,0.265
adv-voting-delta,0.069,-0.019,0.112,-0.116,-0.094,0.264,0.264
adv-voting-fair_resample-all,0.735,0.751,0.705,0.790,0.872,0.407,0.310
adv-voting-fair_resample-group-0,0.748,0.755,0.735,0.769,0.852,0.462,0.735
adv-voting-fair_resample-group-1,0.698,0.758,0.623,0.849,0.939,0.300,0.265
adv-voting-fair_resample-delta,0.050,-0.003,0.112,-0.080,-0.088,0.162,0.162
