method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
original-all,0.813,0.838,0.244,0.147,0.419,0.940,0.000
original-group-0,0.773,0.824,0.310,0.213,0.478,0.907,0.672
original-group-1,0.894,0.782,0.108,0.013,0.072,0.994,0.328
original-delta,-0.121,0.043,0.202,0.199,0.405,-0.087,0.405
original-fair_reg-all,0.711,0.802,0.244,0.410,0.747,0.699,0.000
original-fair_reg-group-0,0.742,0.824,0.310,0.409,0.744,0.741,0.672
original-fair_reg-group-1,0.647,0.782,0.108,0.411,0.769,0.632,0.328
original-fair_reg-delta,0.095,0.042,0.202,-0.002,-0.025,0.109,0.109
original-fair_pp-all,0.789,0.803,0.244,0.132,0.339,0.935,0.000
original-fair_pp-group-0,0.760,0.824,0.310,0.137,0.335,0.952,0.672
original-fair_pp-group-1,0.849,0.782,0.108,0.121,0.361,0.908,0.328
original-fair_pp-delta,-0.088,0.043,0.202,0.016,-0.026,0.044,0.044
original-fair_adv-all,0.811,0.832,0.244,0.143,0.406,0.941,0.000
original-fair_adv-group-0,0.773,0.824,0.310,0.192,0.444,0.921,0.672
original-fair_adv-group-1,0.888,0.783,0.108,0.044,0.185,0.973,0.328
original-fair_adv-delta,-0.115,0.041,0.202,0.148,0.259,-0.052,0.259
original-fair_resample-all,0.797,0.816,0.244,0.136,0.363,0.937,0.000
original-fair_resample-group-0,0.764,0.823,0.310,0.157,0.372,0.940,0.672
original-fair_resample-group-1,0.865,0.787,0.108,0.093,0.309,0.933,0.328
original-fair_resample-delta,-0.101,0.036,0.202,0.063,0.063,0.008,0.063
adv-clean-all,0.813,0.837,0.244,0.150,0.425,0.939,0.000
adv-clean-group-0,0.774,0.824,0.310,0.215,0.483,0.906,0.672
adv-clean-group-1,0.893,0.780,0.108,0.017,0.087,0.991,0.328
adv-clean-delta,-0.119,0.044,0.202,0.197,0.396,-0.085,0.396
adv-clean-fair_reg-all,0.711,0.804,0.244,0.410,0.748,0.699,0.000
adv-clean-fair_reg-group-0,0.743,0.824,0.310,0.408,0.744,0.743,0.672
adv-clean-fair_reg-group-1,0.645,0.781,0.108,0.413,0.772,0.630,0.328
adv-clean-fair_reg-delta,0.098,0.043,0.202,-0.006,-0.028,0.113,0.113
adv-clean-fair_pp-all,0.788,0.802,0.244,0.129,0.330,0.936,0.000
adv-clean-fair_pp-group-0,0.758,0.824,0.310,0.133,0.325,0.954,0.672
adv-clean-fair_pp-group-1,0.850,0.780,0.108,0.120,0.361,0.909,0.328
adv-clean-fair_pp-delta,-0.091,0.044,0.202,0.013,-0.036,0.045,0.045
adv-clean-fair_adv-all,0.810,0.832,0.244,0.145,0.409,0.940,0.000
adv-clean-fair_adv-group-0,0.774,0.824,0.310,0.192,0.446,0.922,0.672
adv-clean-fair_adv-group-1,0.885,0.782,0.108,0.048,0.191,0.969,0.328
adv-clean-fair_adv-delta,-0.111,0.042,0.202,0.144,0.255,-0.047,0.255
adv-clean-fair_resample-all,0.796,0.817,0.244,0.138,0.366,0.935,0.000
adv-clean-fair_resample-group-0,0.764,0.823,0.310,0.158,0.374,0.939,0.672
adv-clean-fair_resample-group-1,0.862,0.785,0.108,0.099,0.318,0.928,0.328
adv-clean-fair_resample-delta,-0.098,0.037,0.202,0.059,0.056,0.012,0.056
adv-all-all,0.813,0.838,0.244,0.147,0.419,0.940,0.000
adv-all-group-0,0.773,0.824,0.310,0.213,0.478,0.907,0.672
adv-all-group-1,0.894,0.782,0.108,0.013,0.072,0.994,0.328
adv-all-delta,-0.121,0.043,0.202,0.199,0.405,-0.087,0.405
adv-all-fair_reg-all,0.711,0.802,0.244,0.410,0.747,0.699,0.000
adv-all-fair_reg-group-0,0.742,0.824,0.310,0.409,0.744,0.741,0.672
adv-all-fair_reg-group-1,0.647,0.782,0.108,0.411,0.769,0.632,0.328
adv-all-fair_reg-delta,0.095,0.042,0.202,-0.002,-0.025,0.109,0.109
adv-all-fair_pp-all,0.789,0.803,0.244,0.132,0.339,0.935,0.000
adv-all-fair_pp-group-0,0.760,0.824,0.310,0.137,0.335,0.952,0.672
adv-all-fair_pp-group-1,0.849,0.782,0.108,0.121,0.361,0.908,0.328
adv-all-fair_pp-delta,-0.088,0.043,0.202,0.016,-0.026,0.044,0.044
adv-all-fair_adv-all,0.811,0.832,0.244,0.143,0.406,0.941,0.000
adv-all-fair_adv-group-0,0.773,0.824,0.310,0.192,0.444,0.921,0.672
adv-all-fair_adv-group-1,0.888,0.783,0.108,0.044,0.185,0.973,0.328
adv-all-fair_adv-delta,-0.115,0.041,0.202,0.148,0.259,-0.052,0.259
adv-all-fair_resample-all,0.795,0.816,0.244,0.138,0.361,0.935,0.000
adv-all-fair_resample-group-0,0.763,0.822,0.310,0.156,0.369,0.941,0.672
adv-all-fair_resample-group-1,0.859,0.787,0.108,0.101,0.315,0.925,0.328
adv-all-fair_resample-delta,-0.096,0.036,0.202,0.055,0.054,0.015,0.054
adv-konstantinov-all,0.813,0.838,0.244,0.147,0.419,0.940,0.400
adv-konstantinov-group-0,0.773,0.824,0.310,0.213,0.478,0.907,0.672
adv-konstantinov-group-1,0.894,0.782,0.108,0.013,0.072,0.994,0.328
adv-konstantinov-delta,-0.121,0.043,0.202,0.199,0.405,-0.087,0.405
adv-konstantinov-fair_reg-all,0.711,0.802,0.244,0.410,0.747,0.699,0.000
adv-konstantinov-fair_reg-group-0,0.742,0.824,0.310,0.409,0.744,0.741,0.672
adv-konstantinov-fair_reg-group-1,0.647,0.782,0.108,0.411,0.769,0.632,0.328
adv-konstantinov-fair_reg-delta,0.095,0.042,0.202,-0.002,-0.025,0.109,0.109
adv-konstantinov-fair_pp-all,0.789,0.803,0.244,0.132,0.339,0.935,0.000
adv-konstantinov-fair_pp-group-0,0.760,0.824,0.310,0.137,0.335,0.952,0.672
adv-konstantinov-fair_pp-group-1,0.849,0.782,0.108,0.121,0.361,0.908,0.328
adv-konstantinov-fair_pp-delta,-0.088,0.043,0.202,0.016,-0.026,0.044,0.044
adv-konstantinov-fair_adv-all,0.811,0.832,0.244,0.143,0.406,0.941,0.000
adv-konstantinov-fair_adv-group-0,0.773,0.824,0.310,0.192,0.444,0.921,0.672
adv-konstantinov-fair_adv-group-1,0.888,0.783,0.108,0.044,0.185,0.973,0.328
adv-konstantinov-fair_adv-delta,-0.115,0.041,0.202,0.148,0.259,-0.052,0.259
adv-konstantinov-fair_resample-all,0.797,0.818,0.244,0.137,0.365,0.937,0.000
adv-konstantinov-fair_resample-group-0,0.764,0.824,0.310,0.159,0.377,0.939,0.672
adv-konstantinov-fair_resample-group-1,0.864,0.786,0.108,0.092,0.298,0.933,0.328
adv-konstantinov-fair_resample-delta,-0.100,0.038,0.202,0.067,0.079,0.006,0.079
adv-selected-all,0.814,0.837,0.244,0.151,0.428,0.938,0.333
adv-selected-group-0,0.776,0.824,0.310,0.214,0.483,0.907,0.672
adv-selected-group-1,0.892,0.779,0.108,0.022,0.104,0.987,0.328
adv-selected-delta,-0.116,0.045,0.202,0.191,0.379,-0.080,0.379
adv-selected-fair_reg-all,0.711,0.802,0.244,0.414,0.754,0.696,0.333
adv-selected-fair_reg-group-0,0.741,0.824,0.310,0.415,0.751,0.737,0.672
adv-selected-fair_reg-group-1,0.647,0.780,0.108,0.411,0.772,0.632,0.328
adv-selected-fair_reg-delta,0.094,0.044,0.202,0.003,-0.020,0.104,0.104
adv-selected-fair_pp-all,0.787,0.802,0.244,0.129,0.329,0.935,0.333
adv-selected-fair_pp-group-0,0.759,0.824,0.310,0.131,0.323,0.955,0.672
adv-selected-fair_pp-group-1,0.845,0.779,0.108,0.125,0.364,0.904,0.328
adv-selected-fair_pp-delta,-0.086,0.045,0.202,0.006,-0.041,0.052,0.052
adv-selected-fair_adv-all,0.809,0.832,0.244,0.144,0.404,0.940,0.333
adv-selected-fair_adv-group-0,0.771,0.824,0.310,0.191,0.439,0.920,0.672
adv-selected-fair_adv-group-1,0.889,0.780,0.108,0.046,0.199,0.973,0.328
adv-selected-fair_adv-delta,-0.118,0.044,0.202,0.146,0.240,-0.053,0.240
adv-selected-fair_resample-all,0.796,0.815,0.244,0.132,0.353,0.939,0.000
adv-selected-fair_resample-group-0,0.762,0.822,0.310,0.152,0.361,0.942,0.672
adv-selected-fair_resample-group-1,0.867,0.783,0.108,0.090,0.301,0.936,0.328
adv-selected-fair_resample-delta,-0.106,0.039,0.202,0.063,0.061,0.006,0.061
adv-voting-all,0.812,0.838,0.244,0.150,0.423,0.938,0.378
adv-voting-group-0,0.772,0.824,0.310,0.216,0.482,0.903,0.672
adv-voting-group-1,0.894,0.783,0.108,0.014,0.075,0.994,0.328
adv-voting-delta,-0.122,0.041,0.202,0.203,0.406,-0.091,0.406
adv-voting-fair_reg-all,0.708,0.802,0.244,0.413,0.748,0.695,0.478
adv-voting-fair_reg-group-0,0.741,0.824,0.310,0.410,0.743,0.740,0.672
adv-voting-fair_reg-group-1,0.641,0.781,0.108,0.419,0.780,0.624,0.328
adv-voting-fair_reg-delta,0.100,0.043,0.202,-0.009,-0.037,0.116,0.116
adv-voting-fair_pp-all,0.787,0.801,0.244,0.125,0.321,0.938,0.421
adv-voting-fair_pp-group-0,0.757,0.824,0.310,0.128,0.314,0.956,0.672
adv-voting-fair_pp-group-1,0.849,0.782,0.108,0.120,0.358,0.909,0.328
adv-voting-fair_pp-delta,-0.092,0.041,0.202,0.008,-0.044,0.047,0.047
adv-voting-fair_adv-all,0.811,0.832,0.244,0.145,0.409,0.941,0.350
adv-voting-fair_adv-group-0,0.774,0.823,0.310,0.193,0.446,0.921,0.672
adv-voting-fair_adv-group-1,0.888,0.783,0.108,0.046,0.191,0.972,0.328
adv-voting-fair_adv-delta,-0.114,0.040,0.202,0.147,0.255,-0.051,0.255
adv-voting-fair_resample-all,0.797,0.814,0.244,0.140,0.370,0.935,0.345
adv-voting-fair_resample-group-0,0.765,0.822,0.310,0.161,0.380,0.938,0.672
adv-voting-fair_resample-group-1,0.863,0.782,0.108,0.096,0.312,0.930,0.328
adv-voting-fair_resample-delta,-0.098,0.040,0.202,0.065,0.068,0.008,0.068
adv-TERM-all,0.799,0.746,0.244,0.082,0.257,0.975,0.000
adv-TERM-group-0,0.754,0.737,0.310,0.122,0.299,0.958,0.672
adv-TERM-group-1,0.893,0.614,0.108,0.001,0.009,1.000,0.328
adv-TERM-delta,-0.139,0.123,0.202,0.121,0.290,-0.042,0.290
adv-TERM-fair_pp-all,0.787,0.704,0.244,0.108,0.284,0.949,0.000
adv-TERM-fair_pp-group-0,0.752,0.732,0.310,0.113,0.282,0.964,0.672
adv-TERM-fair_pp-group-1,0.859,0.682,0.108,0.097,0.295,0.927,0.328
adv-TERM-fair_pp-delta,-0.106,0.050,0.202,0.016,-0.012,0.037,0.037
adv-TERM-fair_resample-all,0.780,0.745,0.244,0.051,0.153,0.983,0.000
adv-TERM-fair_resample-group-0,0.725,0.754,0.310,0.059,0.154,0.983,0.672
adv-TERM-fair_resample-group-1,0.892,0.701,0.108,0.032,0.150,0.982,0.328
adv-TERM-fair_resample-delta,-0.166,0.053,0.202,0.027,0.003,0.001,0.003
adv-DRO-fair_reg-all,0.764,0.776,0.244,0.018,0.055,0.993,0.000
adv-DRO-fair_reg-group-0,0.702,0.751,0.310,0.027,0.064,0.989,0.672
adv-DRO-fair_reg-group-1,0.892,0.704,0.108,0.000,0.000,1.000,0.328
adv-DRO-fair_reg-delta,-0.190,0.048,0.202,0.027,0.064,-0.011,0.064
