method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
original-all,0.807,0.837,0.244,0.147,0.404,0.936,0.000
original-group-0,0.769,0.823,0.306,0.210,0.466,0.903,0.676
original-group-1,0.885,0.798,0.113,0.014,0.056,0.991,0.324
original-delta,-0.116,0.024,0.193,0.196,0.410,-0.089,0.410
original-fair_reg-all,0.699,0.801,0.244,0.427,0.759,0.680,0.000
original-fair_reg-group-0,0.733,0.822,0.306,0.420,0.749,0.725,0.676
original-fair_reg-group-1,0.629,0.799,0.113,0.442,0.813,0.605,0.324
original-fair_reg-delta,0.104,0.023,0.193,-0.022,-0.064,0.120,0.120
original-fair_pp-all,0.788,0.800,0.244,0.136,0.343,0.931,0.000
original-fair_pp-group-0,0.760,0.823,0.306,0.136,0.330,0.950,0.676
original-fair_pp-group-1,0.846,0.798,0.113,0.136,0.421,0.901,0.324
original-fair_pp-delta,-0.086,0.024,0.193,-0.000,-0.091,0.050,0.091
original-fair_adv-all,0.805,0.832,0.244,0.143,0.394,0.938,0.000
original-fair_adv-group-0,0.770,0.822,0.306,0.187,0.431,0.920,0.676
original-fair_adv-group-1,0.878,0.799,0.113,0.051,0.187,0.967,0.324
original-fair_adv-delta,-0.108,0.023,0.193,0.137,0.244,-0.047,0.244
original-fair_resample-all,0.793,0.816,0.244,0.139,0.361,0.933,0.000
original-fair_resample-group-0,0.762,0.819,0.306,0.155,0.364,0.938,0.676
original-fair_resample-group-1,0.859,0.805,0.113,0.106,0.345,0.925,0.324
original-fair_resample-delta,-0.097,0.014,0.193,0.049,0.018,0.013,0.018
adv-clean-all,0.807,0.837,0.244,0.158,0.429,0.929,0.000
adv-clean-group-0,0.769,0.822,0.306,0.228,0.496,0.890,0.676
adv-clean-group-1,0.885,0.798,0.113,0.013,0.050,0.992,0.324
adv-clean-delta,-0.116,0.025,0.193,0.216,0.446,-0.102,0.446
adv-clean-fair_reg-all,0.695,0.802,0.244,0.436,0.770,0.672,0.000
adv-clean-fair_reg-group-0,0.730,0.822,0.306,0.429,0.760,0.717,0.676
