method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
original-all,0.685,0.740,0.466,0.363,0.551,0.802,0.000
original-group-0,0.680,0.740,0.485,0.411,0.594,0.761,0.815
original-group-1,0.706,0.723,0.382,0.149,0.310,0.950,0.185
original-delta,-0.026,0.017,0.103,0.262,0.284,-0.189,0.284
original-fair_reg-all,0.680,0.729,0.466,0.450,0.640,0.715,0.000
original-fair_reg-group-0,0.685,0.740,0.485,0.442,0.631,0.736,0.815
original-fair_reg-group-1,0.658,0.723,0.382,0.487,0.690,0.638,0.185
original-fair_reg-delta,0.027,0.017,0.103,-0.045,-0.059,0.098,0.098
original-fair_pp-all,0.676,0.727,0.466,0.457,0.643,0.705,0.000
original-fair_pp-group-0,0.687,0.740,0.485,0.440,0.631,0.740,0.815
original-fair_pp-group-1,0.627,0.723,0.382,0.535,0.713,0.574,0.185
original-fair_pp-delta,0.060,0.017,0.103,-0.095,-0.081,0.165,0.165
original-fair_adv-all,0.687,0.739,0.466,0.358,0.548,0.808,0.000
original-fair_adv-group-0,0.678,0.740,0.485,0.379,0.559,0.790,0.815
original-fair_adv-group-1,0.724,0.723,0.382,0.263,0.483,0.872,0.185
original-fair_adv-delta,-0.045,0.017,0.103,0.116,0.077,-0.082,0.082
original-fair_resample-all,0.673,0.729,0.466,0.372,0.548,0.782,0.000
original-fair_resample-group-0,0.669,0.736,0.485,0.374,0.545,0.786,0.815
original-fair_resample-group-1,0.689,0.713,0.382,0.360,0.563,0.766,0.185
original-fair_resample-delta,-0.019,0.023,0.103,0.015,-0.018,0.020,0.020
adv-clean-all,0.687,0.743,0.466,0.367,0.558,0.800,0.000
adv-clean-group-0,0.679,0.741,0.485,0.408,0.590,0.763,0.815
adv-clean-group-1,0.724,0.726,0.382,0.184,0.379,0.936,0.185
adv-clean-delta,-0.044,0.016,0.103,0.224,0.211,-0.173,0.211
adv-clean-fair_reg-all,0.683,0.731,0.466,0.445,0.638,0.723,0.000
adv-clean-fair_reg-group-0,0.687,0.741,0.485,0.436,0.627,0.744,0.815
adv-clean-fair_reg-group-1,0.667,0.723,0.382,0.487,0.701,0.645,0.185
adv-clean-fair_reg-delta,0.021,0.018,0.103,-0.051,-0.074,0.098,0.098
adv-clean-fair_pp-all,0.674,0.734,0.466,0.351,0.527,0.802,0.000
adv-clean-fair_pp-group-0,0.668,0.741,0.485,0.352,0.520,0.807,0.815
adv-clean-fair_pp-group-1,0.697,0.726,0.382,0.351,0.563,0.780,0.185
adv-clean-fair_pp-delta,-0.029,0.016,0.103,0.001,-0.043,0.027,0.043
adv-clean-fair_adv-all,0.686,0.740,0.466,0.354,0.543,0.811,0.000
adv-clean-fair_adv-group-0,0.677,0.741,0.485,0.372,0.551,0.796,0.815
adv-clean-fair_adv-group-1,0.724,0.724,0.382,0.272,0.494,0.865,0.185
adv-clean-fair_adv-delta,-0.046,0.017,0.103,0.100,0.057,-0.069,0.069
adv-clean-fair_resample-all,0.666,0.724,0.466,0.389,0.560,0.759,0.000
adv-clean-fair_resample-group-0,0.663,0.736,0.485,0.388,0.553,0.767,0.815
adv-clean-fair_resample-group-1,0.680,0.686,0.382,0.395,0.598,0.730,0.185
adv-clean-fair_resample-delta,-0.016,0.050,0.103,-0.006,-0.044,0.036,0.044
adv-all-all,0.627,0.718,0.466,0.593,0.736,0.532,0.000
adv-all-group-0,0.608,0.720,0.485,0.694,0.811,0.416,0.815
adv-all-group-1,0.711,0.709,0.382,0.145,0.310,0.957,0.185
adv-all-delta,-0.103,0.011,0.103,0.549,0.501,-0.541,0.541
adv-all-fair_reg-all,0.653,0.719,0.466,0.496,0.659,0.647,0.000
adv-all-fair_reg-group-0,0.653,0.720,0.485,0.498,0.656,0.651,0.815
adv-all-fair_reg-group-1,0.649,0.709,0.382,0.487,0.678,0.631,0.185
adv-all-fair_reg-delta,0.004,0.011,0.103,0.011,-0.022,0.020,0.022
adv-all-fair_pp-all,0.622,0.719,0.466,0.619,0.758,0.503,0.000
adv-all-fair_pp-group-0,0.633,0.720,0.485,0.622,0.762,0.511,0.815
adv-all-fair_pp-group-1,0.575,0.709,0.382,0.605,0.736,0.475,0.185
adv-all-fair_pp-delta,0.058,0.011,0.103,0.016,0.027,0.035,0.035
adv-all-fair_adv-all,0.671,0.705,0.466,0.343,0.515,0.808,0.000
adv-all-fair_adv-group-0,0.679,0.720,0.485,0.307,0.486,0.861,0.815
adv-all-fair_adv-group-1,0.636,0.709,0.382,0.500,0.678,0.610,0.185
adv-all-fair_adv-delta,0.043,0.011,0.103,-0.193,-0.193,0.251,0.251
adv-all-fair_resample-all,0.646,0.678,0.466,0.447,0.600,0.686,0.000
adv-all-fair_resample-group-0,0.660,0.690,0.485,0.441,0.605,0.713,0.815
adv-all-fair_resample-group-1,0.583,0.628,0.382,0.474,0.575,0.589,0.185
adv-all-fair_resample-delta,0.077,0.063,0.103,-0.033,0.030,0.124,0.124
adv-konstantinov-all,0.627,0.718,0.466,0.593,0.736,0.532,0.400
adv-konstantinov-group-0,0.608,0.720,0.485,0.694,0.811,0.416,0.815
adv-konstantinov-group-1,0.711,0.709,0.382,0.145,0.310,0.957,0.185
adv-konstantinov-delta,-0.103,0.011,0.103,0.549,0.501,-0.541,0.541
adv-konstantinov-fair_reg-all,0.653,0.719,0.466,0.496,0.659,0.647,0.000
adv-konstantinov-fair_reg-group-0,0.653,0.720,0.485,0.498,0.656,0.651,0.815
adv-konstantinov-fair_reg-group-1,0.649,0.709,0.382,0.487,0.678,0.631,0.185
adv-konstantinov-fair_reg-delta,0.004,0.011,0.103,0.011,-0.022,0.020,0.022
adv-konstantinov-fair_pp-all,0.622,0.719,0.466,0.619,0.758,0.503,0.000
adv-konstantinov-fair_pp-group-0,0.633,0.720,0.485,0.622,0.762,0.511,0.815
adv-konstantinov-fair_pp-group-1,0.575,0.709,0.382,0.605,0.736,0.475,0.185
adv-konstantinov-fair_pp-delta,0.058,0.011,0.103,0.016,0.027,0.035,0.035
adv-konstantinov-fair_adv-all,0.671,0.705,0.466,0.343,0.515,0.808,0.000
adv-konstantinov-fair_adv-group-0,0.679,0.720,0.485,0.307,0.486,0.861,0.815
adv-konstantinov-fair_adv-group-1,0.636,0.709,0.382,0.500,0.678,0.610,0.185
adv-konstantinov-fair_adv-delta,0.043,0.011,0.103,-0.193,-0.193,0.251,0.251
adv-konstantinov-fair_resample-all,0.603,0.661,0.466,0.535,0.649,0.564,0.000
adv-konstantinov-fair_resample-group-0,0.614,0.666,0.485,0.533,0.652,0.578,0.815
adv-konstantinov-fair_resample-group-1,0.557,0.642,0.382,0.544,0.632,0.511,0.185
adv-konstantinov-fair_resample-delta,0.057,0.024,0.103,-0.011,0.019,0.067,0.067
adv-selected-all,0.687,0.743,0.466,0.367,0.558,0.800,0.000
adv-selected-group-0,0.679,0.741,0.485,0.408,0.590,0.763,0.815
adv-selected-group-1,0.724,0.726,0.382,0.184,0.379,0.936,0.185
adv-selected-delta,-0.044,0.016,0.103,0.224,0.211,-0.173,0.211
adv-selected-fair_reg-all,0.683,0.731,0.466,0.445,0.638,0.723,0.000
adv-selected-fair_reg-group-0,0.687,0.741,0.485,0.436,0.627,0.744,0.815
adv-selected-fair_reg-group-1,0.667,0.723,0.382,0.487,0.701,0.645,0.185
adv-selected-fair_reg-delta,0.021,0.018,0.103,-0.051,-0.074,0.098,0.098
adv-selected-fair_pp-all,0.674,0.734,0.466,0.351,0.527,0.802,0.000
adv-selected-fair_pp-group-0,0.668,0.741,0.485,0.352,0.520,0.807,0.815
adv-selected-fair_pp-group-1,0.697,0.726,0.382,0.351,0.563,0.780,0.185
adv-selected-fair_pp-delta,-0.029,0.016,0.103,0.001,-0.043,0.027,0.043
adv-selected-fair_adv-all,0.686,0.740,0.466,0.354,0.543,0.811,0.000
adv-selected-fair_adv-group-0,0.677,0.741,0.485,0.372,0.551,0.796,0.815
adv-selected-fair_adv-group-1,0.724,0.724,0.382,0.272,0.494,0.865,0.185
adv-selected-fair_adv-delta,-0.046,0.017,0.103,0.100,0.057,-0.069,0.069
adv-selected-fair_resample-all,0.680,0.736,0.466,0.368,0.551,0.792,0.000
adv-selected-fair_resample-group-0,0.675,0.740,0.485,0.370,0.547,0.796,0.815
adv-selected-fair_resample-group-1,0.702,0.742,0.382,0.355,0.575,0.780,0.185
adv-selected-fair_resample-delta,-0.026,-0.002,0.103,0.015,-0.028,0.016,0.028
adv-voting-all,0.691,0.740,0.466,0.403,0.602,0.770,0.071
adv-voting-group-0,0.687,0.739,0.485,0.466,0.658,0.715,0.815
adv-voting-group-1,0.711,0.730,0.382,0.127,0.287,0.972,0.185
adv-voting-delta,-0.023,0.009,0.103,0.339,0.370,-0.257,0.370
adv-voting-fair_reg-all,0.661,0.727,0.466,0.440,0.609,0.706,0.045
adv-voting-fair_reg-group-0,0.674,0.740,0.485,0.411,0.588,0.755,0.815
adv-voting-fair_reg-group-1,0.601,0.731,0.382,0.570,0.724,0.525,0.185
adv-voting-fair_reg-delta,0.073,0.009,0.103,-0.159,-0.136,0.230,0.230
adv-voting-fair_pp-all,0.664,0.722,0.466,0.415,0.584,0.733,0.056
adv-voting-fair_pp-group-0,0.679,0.740,0.485,0.380,0.561,0.790,0.815
adv-voting-fair_pp-group-1,0.596,0.709,0.382,0.566,0.713,0.525,0.185
adv-voting-fair_pp-delta,0.083,0.032,0.103,-0.185,-0.151,0.265,0.265
adv-voting-fair_adv-all,0.689,0.741,0.466,0.412,0.609,0.759,0.085
adv-voting-fair_adv-group-0,0.684,0.742,0.485,0.443,0.631,0.734,0.815
adv-voting-fair_adv-group-1,0.711,0.722,0.382,0.276,0.483,0.851,0.185
adv-voting-fair_adv-delta,-0.026,0.020,0.103,0.167,0.148,-0.117,0.148
adv-voting-fair_resample-all,0.662,0.713,0.466,0.296,0.456,0.842,0.066
adv-voting-fair_resample-group-0,0.666,0.730,0.485,0.274,0.439,0.881,0.815
adv-voting-fair_resample-group-1,0.645,0.678,0.382,0.395,0.552,0.702,0.185
adv-voting-fair_resample-delta,0.022,0.051,0.103,-0.121,-0.113,0.178,0.178
adv-TERM-all,0.534,0.351,0.466,0.000,0.000,1.000,0.000
adv-TERM-group-0,0.515,0.347,0.485,0.000,0.000,1.000,0.815
adv-TERM-group-1,0.618,0.375,0.382,0.000,0.000,1.000,0.185
adv-TERM-delta,-0.103,-0.028,0.103,0.000,0.000,0.000,0.000
adv-TERM-fair_pp-all,0.519,0.335,0.466,0.038,0.024,0.950,0.000
adv-TERM-fair_pp-group-0,0.499,0.333,0.485,0.039,0.023,0.946,0.815
adv-TERM-fair_pp-group-1,0.610,0.361,0.382,0.035,0.034,0.965,0.185
adv-TERM-fair_pp-delta,-0.111,-0.028,0.103,0.004,-0.012,-0.018,0.018
adv-TERM-fair_resample-all,0.534,0.349,0.466,0.000,0.000,1.000,0.000
adv-TERM-fair_resample-group-0,0.515,0.347,0.485,0.000,0.000,1.000,0.815
adv-TERM-fair_resample-group-1,0.618,0.376,0.382,0.000,0.000,1.000,0.185
adv-TERM-fair_resample-delta,-0.103,-0.029,0.103,0.000,0.000,0.000,0.000
adv-DRO-fair_reg-all,0.624,0.734,0.466,0.156,0.264,0.938,0.000
adv-DRO-fair_reg-group-0,0.619,0.730,0.485,0.177,0.289,0.929,0.815
adv-DRO-fair_reg-group-1,0.649,0.731,0.382,0.066,0.126,0.972,0.185
adv-DRO-fair_reg-delta,-0.030,-0.001,0.103,0.111,0.162,-0.043,0.162
