method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
original-all,0.685,0.740,0.466,0.363,0.551,0.802,0.000
original-group-0,0.680,0.740,0.485,0.411,0.594,0.761,0.815
original-group-1,0.706,0.723,0.382,0.149,0.310,0.950,0.185
original-delta,-0.026,0.017,0.103,0.262,0.284,-0.189,0.284
original-fair_reg-all,0.680,0.729,0.466,0.450,0.640,0.715,0.000
original-fair_reg-group-0,0.685,0.740,0.485,0.442,0.631,0.736,0.815
original-fair_reg-group-1,0.658,0.723,0.382,0.487,0.690,0.638,0.185
original-fair_reg-delta,0.027,0.017,0.103,-0.045,-0.059,0.098,0.098
original-fair_pp-all,0.676,0.727,0.466,0.457,0.643,0.705,0.000
original-fair_pp-group-0,0.687,0.740,0.485,0.440,0.631,0.740,0.815
original-fair_pp-group-1,0.627,0.723,0.382,0.535,0.713,0.574,0.185
original-fair_pp-delta,0.060,0.017,0.103,-0.095,-0.081,0.165,0.165
original-fair_adv-all,0.687,0.739,0.466,0.358,0.548,0.808,0.000
original-fair_adv-group-0,0.678,0.740,0.485,0.379,0.559,0.790,0.815
original-fair_adv-group-1,0.724,0.723,0.382,0.263,0.483,0.872,0.185
original-fair_adv-delta,-0.045,0.017,0.103,0.116,0.077,-0.082,0.082
original-fair_resample-all,0.673,0.729,0.466,0.372,0.548,0.782,0.000
original-fair_resample-group-0,0.669,0.736,0.485,0.374,0.545,0.786,0.815
original-fair_resample-group-1,0.689,0.713,0.382,0.360,0.563,0.766,0.185
original-fair_resample-delta,-0.019,0.023,0.103,0.015,-0.018,0.020,0.020
adv-clean-all,0.687,0.743,0.466,0.367,0.558,0.800,0.000
adv-clean-group-0,0.679,0.741,0.485,0.408,0.590,0.763,0.815
adv-clean-group-1,0.724,0.726,0.382,0.184,0.379,0.936,0.185
adv-clean-delta,-0.044,0.016,0.103,0.224,0.211,-0.173,0.211
adv-clean-fair_reg-all,0.683,0.731,0.466,0.445,0.638,0.723,0.000
adv-clean-fair_reg-group-0,0.687,0.741,0.485,0.436,0.627,0.744,0.815
adv-clean-fair_reg-group-1,0.667,0.723,0.382,0.487,0.701,0.645,0.185
adv-clean-fair_reg-delta,0.021,0.018,0.103,-0.051,-0.074,0.098,0.098
adv-clean-fair_pp-all,0.674,0.734,0.466,0.351,0.527,0.802,0.000
adv-clean-fair_pp-group-0,0.668,0.741,0.485,0.352,0.520,0.807,0.815
adv-clean-fair_pp-group-1,0.697,0.726,0.382,0.351,0.563,0.780,0.185
adv-clean-fair_pp-delta,-0.029,0.016,0.103,0.001,-0.043,0.027,0.043
adv-clean-fair_adv-all,0.686,0.740,0.466,0.354,0.543,0.811,0.000
adv-clean-fair_adv-group-0,0.677,0.741,0.485,0.372,0.551,0.796,0.815
adv-clean-fair_adv-group-1,0.724,0.724,0.382,0.272,0.494,0.865,0.185
adv-clean-fair_adv-delta,-0.046,0.017,0.103,0.100,0.057,-0.069,0.069
adv-clean-fair_resample-all,0.666,0.724,0.466,0.389,0.560,0.759,0.000
adv-clean-fair_resample-group-0,0.663,0.736,0.485,0.388,0.553,0.767,0.815
adv-clean-fair_resample-group-1,0.680,0.686,0.382,0.395,0.598,0.730,0.185
adv-clean-fair_resample-delta,-0.016,0.050,0.103,-0.006,-0.044,0.036,0.044
adv-all-all,0.685,0.740,0.466,0.363,0.551,0.802,0.000
adv-all-group-0,0.680,0.740,0.485,0.411,0.594,0.761,0.815
adv-all-group-1,0.706,0.723,0.382,0.149,0.310,0.950,0.185
adv-all-delta,-0.026,0.017,0.103,0.262,0.284,-0.189,0.284
adv-all-fair_reg-all,0.680,0.729,0.466,0.450,0.640,0.715,0.000
adv-all-fair_reg-group-0,0.685,0.740,0.485,0.442,0.631,0.736,0.815
adv-all-fair_reg-group-1,0.658,0.723,0.382,0.487,0.690,0.638,0.185
adv-all-fair_reg-delta,0.027,0.017,0.103,-0.045,-0.059,0.098,0.098
adv-all-fair_pp-all,0.676,0.727,0.466,0.457,0.643,0.705,0.000
adv-all-fair_pp-group-0,0.687,0.740,0.485,0.440,0.631,0.740,0.815
adv-all-fair_pp-group-1,0.627,0.723,0.382,0.535,0.713,0.574,0.185
adv-all-fair_pp-delta,0.060,0.017,0.103,-0.095,-0.081,0.165,0.165
adv-all-fair_adv-all,0.687,0.739,0.466,0.358,0.548,0.808,0.000
adv-all-fair_adv-group-0,0.678,0.740,0.485,0.379,0.559,0.790,0.815
adv-all-fair_adv-group-1,0.724,0.723,0.382,0.263,0.483,0.872,0.185
adv-all-fair_adv-delta,-0.045,0.017,0.103,0.116,0.077,-0.082,0.082
adv-all-fair_resample-all,0.675,0.728,0.466,0.382,0.562,0.774,0.000
adv-all-fair_resample-group-0,0.679,0.736,0.485,0.376,0.557,0.794,0.815
adv-all-fair_resample-group-1,0.658,0.717,0.382,0.408,0.586,0.702,0.185
adv-all-fair_resample-delta,0.021,0.019,0.103,-0.032,-0.029,0.092,0.092
adv-konstantinov-all,0.685,0.740,0.466,0.363,0.551,0.802,0.400
adv-konstantinov-group-0,0.680,0.740,0.485,0.411,0.594,0.761,0.815
adv-konstantinov-group-1,0.706,0.723,0.382,0.149,0.310,0.950,0.185
adv-konstantinov-delta,-0.026,0.017,0.103,0.262,0.284,-0.189,0.284
adv-konstantinov-fair_reg-all,0.680,0.729,0.466,0.450,0.640,0.715,0.000
adv-konstantinov-fair_reg-group-0,0.685,0.740,0.485,0.442,0.631,0.736,0.815
adv-konstantinov-fair_reg-group-1,0.658,0.723,0.382,0.487,0.690,0.638,0.185
adv-konstantinov-fair_reg-delta,0.027,0.017,0.103,-0.045,-0.059,0.098,0.098
adv-konstantinov-fair_pp-all,0.676,0.727,0.466,0.457,0.643,0.705,0.000
adv-konstantinov-fair_pp-group-0,0.687,0.740,0.485,0.440,0.631,0.740,0.815
adv-konstantinov-fair_pp-group-1,0.627,0.723,0.382,0.535,0.713,0.574,0.185
adv-konstantinov-fair_pp-delta,0.060,0.017,0.103,-0.095,-0.081,0.165,0.165
adv-konstantinov-fair_adv-all,0.687,0.739,0.466,0.358,0.548,0.808,0.000
adv-konstantinov-fair_adv-group-0,0.678,0.740,0.485,0.379,0.559,0.790,0.815
adv-konstantinov-fair_adv-group-1,0.724,0.723,0.382,0.263,0.483,0.872,0.185
adv-konstantinov-fair_adv-delta,-0.045,0.017,0.103,0.116,0.077,-0.082,0.082
adv-konstantinov-fair_resample-all,0.674,0.734,0.466,0.319,0.492,0.832,0.000
adv-konstantinov-fair_resample-group-0,0.669,0.743,0.485,0.309,0.477,0.850,0.815
adv-konstantinov-fair_resample-group-1,0.693,0.729,0.382,0.364,0.575,0.766,0.185
adv-konstantinov-fair_resample-delta,-0.024,0.014,0.103,-0.055,-0.097,0.084,0.097
adv-selected-all,0.683,0.740,0.466,0.355,0.541,0.806,0.333
adv-selected-group-0,0.678,0.738,0.485,0.401,0.582,0.769,0.815
adv-selected-group-1,0.702,0.723,0.382,0.154,0.310,0.943,0.185
adv-selected-delta,-0.024,0.015,0.103,0.248,0.272,-0.174,0.272
adv-selected-fair_reg-all,0.677,0.728,0.466,0.465,0.652,0.698,0.333
adv-selected-fair_reg-group-0,0.681,0.739,0.485,0.458,0.643,0.717,0.815
adv-selected-fair_reg-group-1,0.658,0.724,0.382,0.496,0.701,0.631,0.185
adv-selected-fair_reg-delta,0.023,0.015,0.103,-0.038,-0.058,0.086,0.086
adv-selected-fair_pp-all,0.666,0.727,0.466,0.484,0.661,0.670,0.333
adv-selected-fair_pp-group-0,0.675,0.738,0.485,0.472,0.652,0.697,0.815
adv-selected-fair_pp-group-1,0.623,0.723,0.382,0.539,0.713,0.567,0.185
adv-selected-fair_pp-delta,0.052,0.015,0.103,-0.068,-0.061,0.130,0.130
adv-selected-fair_adv-all,0.679,0.737,0.466,0.355,0.536,0.803,0.667
adv-selected-fair_adv-group-0,0.671,0.738,0.485,0.368,0.541,0.794,0.815
adv-selected-fair_adv-group-1,0.711,0.723,0.382,0.294,0.506,0.837,0.185
adv-selected-fair_adv-delta,-0.039,0.015,0.103,0.075,0.035,-0.043,0.043
adv-selected-fair_resample-all,0.679,0.728,0.466,0.355,0.536,0.803,0.000
adv-selected-fair_resample-group-0,0.674,0.737,0.485,0.354,0.529,0.811,0.815
adv-selected-fair_resample-group-1,0.697,0.721,0.382,0.360,0.575,0.773,0.185
adv-selected-fair_resample-delta,-0.023,0.016,0.103,-0.006,-0.046,0.038,0.046
adv-voting-all,0.684,0.739,0.466,0.354,0.541,0.809,0.377
adv-voting-group-0,0.679,0.739,0.485,0.400,0.582,0.771,0.815
adv-voting-group-1,0.706,0.719,0.382,0.149,0.310,0.950,0.185
adv-voting-delta,-0.027,0.020,0.103,0.251,0.272,-0.180,0.272
adv-voting-fair_reg-all,0.674,0.728,0.466,0.439,0.621,0.720,0.501
adv-voting-fair_reg-group-0,0.678,0.739,0.485,0.425,0.607,0.746,0.815
adv-voting-fair_reg-group-1,0.654,0.721,0.382,0.500,0.701,0.624,0.185
adv-voting-fair_reg-delta,0.025,0.018,0.103,-0.075,-0.095,0.122,0.122
adv-voting-fair_pp-all,0.666,0.725,0.466,0.500,0.678,0.655,0.351
adv-voting-fair_pp-group-0,0.680,0.737,0.485,0.485,0.670,0.690,0.815
adv-voting-fair_pp-group-1,0.601,0.707,0.382,0.570,0.724,0.525,0.185
adv-voting-fair_pp-delta,0.079,0.030,0.103,-0.086,-0.054,0.165,0.165
adv-voting-fair_adv-all,0.678,0.736,0.466,0.351,0.530,0.806,0.400
adv-voting-fair_adv-group-0,0.671,0.738,0.485,0.366,0.539,0.796,0.815
adv-voting-fair_adv-group-1,0.706,0.719,0.382,0.281,0.483,0.844,0.185
adv-voting-fair_adv-delta,-0.035,0.019,0.103,0.086,0.056,-0.048,0.056
adv-voting-fair_resample-all,0.674,0.733,0.466,0.389,0.567,0.767,0.376
adv-voting-fair_resample-group-0,0.676,0.741,0.485,0.381,0.559,0.786,0.815
adv-voting-fair_resample-group-1,0.662,0.729,0.382,0.421,0.609,0.695,0.185
adv-voting-fair_resample-delta,0.014,0.012,0.103,-0.040,-0.050,0.091,0.091
adv-TERM-all,0.662,0.719,0.466,0.233,0.388,0.902,0.000
adv-TERM-group-0,0.657,0.719,0.485,0.263,0.418,0.882,0.815
adv-TERM-group-1,0.684,0.698,0.382,0.101,0.218,0.972,0.185
adv-TERM-delta,-0.027,0.022,0.103,0.162,0.200,-0.089,0.200
adv-TERM-fair_pp-all,0.670,0.713,0.466,0.289,0.456,0.856,0.000
adv-TERM-fair_pp-group-0,0.660,0.719,0.485,0.282,0.441,0.867,0.815
adv-TERM-fair_pp-group-1,0.711,0.705,0.382,0.320,0.540,0.816,0.185
adv-TERM-fair_pp-delta,-0.050,0.014,0.103,-0.038,-0.100,0.051,0.100
adv-TERM-fair_resample-all,0.662,0.659,0.466,0.228,0.383,0.906,0.000
adv-TERM-fair_resample-group-0,0.650,0.656,0.485,0.242,0.389,0.896,0.815
adv-TERM-fair_resample-group-1,0.715,0.662,0.382,0.167,0.345,0.943,0.185
adv-TERM-fair_resample-delta,-0.064,-0.006,0.103,0.076,0.045,-0.047,0.047
adv-DRO-fair_reg-all,0.556,0.724,0.466,0.033,0.059,0.989,0.000
adv-DRO-fair_reg-group-0,0.541,0.719,0.485,0.040,0.068,0.987,0.815
adv-DRO-fair_reg-group-1,0.623,0.717,0.382,0.004,0.011,1.000,0.185
adv-DRO-fair_reg-delta,-0.082,0.002,0.103,0.035,0.056,-0.013,0.056
