method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
original-all,0.655,0.683,0.446,0.403,0.565,0.727,0.000
original-group-0,0.652,0.680,0.484,0.571,0.730,0.579,0.488
original-group-1,0.658,0.700,0.409,0.244,0.380,0.851,0.512
original-delta,-0.006,-0.020,0.074,0.327,0.351,-0.272,0.351
original-fair_reg-all,0.626,0.689,0.446,0.480,0.619,0.632,0.000
original-fair_reg-group-0,0.658,0.679,0.484,0.500,0.663,0.653,0.488
original-fair_reg-group-1,0.596,0.701,0.409,0.461,0.570,0.614,0.512
original-fair_reg-delta,0.062,-0.022,0.074,0.039,0.093,0.039,0.093
original-fair_pp-all,0.653,0.688,0.446,0.332,0.482,0.789,0.000
original-fair_pp-group-0,0.647,0.680,0.484,0.337,0.483,0.800,0.488
original-fair_pp-group-1,0.658,0.700,0.409,0.326,0.481,0.781,0.512
original-fair_pp-delta,-0.011,-0.020,0.074,0.011,0.002,0.019,0.019
original-fair_adv-all,0.663,0.690,0.446,0.401,0.571,0.737,0.000
original-fair_adv-group-0,0.668,0.678,0.484,0.467,0.640,0.695,0.488
original-fair_adv-group-1,0.658,0.700,0.409,0.337,0.494,0.772,0.512
original-fair_adv-delta,0.010,-0.022,0.074,0.131,0.147,-0.077,0.147
original-fair_resample-all,0.658,0.689,0.446,0.390,0.554,0.742,0.000
original-fair_resample-group-0,0.658,0.687,0.484,0.435,0.596,0.716,0.488
original-fair_resample-group-1,0.658,0.690,0.409,0.347,0.506,0.763,0.512
original-fair_resample-delta,-0.000,-0.004,0.074,0.088,0.089,-0.047,0.089
adv-clean-all,0.658,0.684,0.446,0.406,0.571,0.727,0.000
adv-clean-group-0,0.668,0.687,0.484,0.554,0.730,0.611,0.488
adv-clean-group-1,0.648,0.695,0.409,0.264,0.392,0.825,0.512
adv-clean-delta,0.021,-0.008,0.074,0.290,0.338,-0.214,0.338
adv-clean-fair_reg-all,0.637,0.688,0.446,0.469,0.619,0.651,0.000
adv-clean-fair_reg-group-0,0.652,0.686,0.484,0.473,0.629,0.674,0.488
adv-clean-fair_reg-group-1,0.622,0.696,0.409,0.466,0.608,0.632,0.512
adv-clean-fair_reg-delta,0.030,-0.010,0.074,0.007,0.022,0.042,0.042
adv-clean-fair_pp-all,0.629,0.687,0.446,0.393,0.524,0.713,0.000
adv-clean-fair_pp-group-0,0.658,0.687,0.484,0.380,0.539,0.768,0.488
adv-clean-fair_pp-group-1,0.601,0.695,0.409,0.404,0.506,0.667,0.512
adv-clean-fair_pp-delta,0.057,-0.008,0.074,-0.024,0.033,0.102,0.102
adv-clean-fair_adv-all,0.642,0.690,0.446,0.395,0.542,0.722,0.000
adv-clean-fair_adv-group-0,0.652,0.686,0.484,0.451,0.607,0.695,0.488
adv-clean-fair_adv-group-1,0.632,0.694,0.409,0.342,0.468,0.746,0.512
adv-clean-fair_adv-delta,0.020,-0.009,0.074,0.109,0.138,-0.051,0.138
adv-clean-fair_resample-all,0.629,0.683,0.446,0.403,0.536,0.703,0.000
adv-clean-fair_resample-group-0,0.636,0.678,0.484,0.457,0.596,0.674,0.488
adv-clean-fair_resample-group-1,0.622,0.689,0.409,0.352,0.468,0.728,0.512
adv-clean-fair_resample-delta,0.014,-0.011,0.074,0.104,0.127,-0.054,0.127
adv-all-all,0.615,0.667,0.446,0.411,0.530,0.684,0.000
adv-all-group-0,0.598,0.685,0.484,0.255,0.348,0.832,0.488
adv-all-group-1,0.632,0.707,0.409,0.560,0.734,0.561,0.512
adv-all-delta,-0.034,-0.022,0.074,-0.304,-0.386,0.270,0.386
adv-all-fair_reg-all,0.642,0.695,0.446,0.475,0.631,0.651,0.000
adv-all-fair_reg-group-0,0.647,0.685,0.484,0.587,0.742,0.558,0.488
adv-all-fair_reg-group-1,0.637,0.707,0.409,0.368,0.506,0.728,0.512
adv-all-fair_reg-delta,0.009,-0.022,0.074,0.219,0.235,-0.170,0.235
adv-all-fair_pp-all,0.658,0.695,0.446,0.454,0.625,0.684,0.000
adv-all-fair_pp-group-0,0.668,0.685,0.484,0.565,0.742,0.600,0.488
adv-all-fair_pp-group-1,0.648,0.707,0.409,0.347,0.494,0.754,0.512
adv-all-fair_pp-delta,0.021,-0.022,0.074,0.218,0.248,-0.154,0.248
adv-all-fair_adv-all,0.650,0.696,0.446,0.403,0.560,0.722,0.000
adv-all-fair_adv-group-0,0.663,0.686,0.484,0.418,0.584,0.737,0.488
adv-all-fair_adv-group-1,0.637,0.706,0.409,0.389,0.532,0.711,0.512
adv-all-fair_adv-delta,0.026,-0.020,0.074,0.030,0.053,0.026,0.053
adv-all-fair_resample-all,0.647,0.694,0.446,0.411,0.565,0.713,0.000
adv-all-fair_resample-group-0,0.658,0.686,0.484,0.457,0.618,0.695,0.488
adv-all-fair_resample-group-1,0.637,0.703,0.409,0.368,0.506,0.728,0.512
adv-all-fair_resample-delta,0.020,-0.017,0.074,0.089,0.112,-0.033,0.112
adv-konstantinov-all,0.615,0.667,0.446,0.411,0.530,0.684,0.400
adv-konstantinov-group-0,0.598,0.685,0.484,0.255,0.348,0.832,0.488
adv-konstantinov-group-1,0.632,0.707,0.409,0.560,0.734,0.561,0.512
adv-konstantinov-delta,-0.034,-0.022,0.074,-0.304,-0.386,0.270,0.386
adv-konstantinov-fair_reg-all,0.642,0.695,0.446,0.475,0.631,0.651,0.000
adv-konstantinov-fair_reg-group-0,0.647,0.685,0.484,0.587,0.742,0.558,0.488
adv-konstantinov-fair_reg-group-1,0.637,0.707,0.409,0.368,0.506,0.728,0.512
adv-konstantinov-fair_reg-delta,0.009,-0.022,0.074,0.219,0.235,-0.170,0.235
adv-konstantinov-fair_pp-all,0.658,0.695,0.446,0.454,0.625,0.684,0.000
adv-konstantinov-fair_pp-group-0,0.668,0.685,0.484,0.565,0.742,0.600,0.488
adv-konstantinov-fair_pp-group-1,0.648,0.707,0.409,0.347,0.494,0.754,0.512
adv-konstantinov-fair_pp-delta,0.021,-0.022,0.074,0.218,0.248,-0.154,0.248
adv-konstantinov-fair_adv-all,0.650,0.696,0.446,0.403,0.560,0.722,0.000
adv-konstantinov-fair_adv-group-0,0.663,0.686,0.484,0.418,0.584,0.737,0.488
adv-konstantinov-fair_adv-group-1,0.637,0.706,0.409,0.389,0.532,0.711,0.512
adv-konstantinov-fair_adv-delta,0.026,-0.020,0.074,0.030,0.053,0.026,0.053
adv-konstantinov-fair_resample-all,0.645,0.689,0.446,0.408,0.560,0.713,0.000
adv-konstantinov-fair_resample-group-0,0.647,0.679,0.484,0.457,0.607,0.684,0.488
adv-konstantinov-fair_resample-group-1,0.642,0.698,0.409,0.363,0.506,0.737,0.512
adv-konstantinov-fair_resample-delta,0.004,-0.019,0.074,0.094,0.100,-0.053,0.100
adv-selected-all,0.658,0.684,0.446,0.406,0.571,0.727,0.000
adv-selected-group-0,0.668,0.687,0.484,0.554,0.730,0.611,0.488
adv-selected-group-1,0.648,0.695,0.409,0.264,0.392,0.825,0.512
adv-selected-delta,0.021,-0.008,0.074,0.290,0.338,-0.214,0.338
