method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
original-all,0.684,0.743,0.485,0.456,0.645,0.722,0.000
original-group-0,0.655,0.702,0.577,0.624,0.741,0.537,0.515
original-group-1,0.716,0.736,0.388,0.279,0.493,0.857,0.485
original-delta,-0.061,-0.034,0.189,0.345,0.248,-0.321,0.321
original-fair_reg-all,0.639,0.718,0.485,0.517,0.661,0.619,0.000
original-fair_reg-group-0,0.639,0.701,0.577,0.577,0.688,0.573,0.515
original-fair_reg-group-1,0.639,0.738,0.388,0.454,0.620,0.652,0.485
original-fair_reg-delta,-0.000,-0.037,0.189,0.124,0.068,-0.079,0.079
original-fair_pp-all,0.639,0.718,0.485,0.342,0.481,0.789,0.000
original-fair_pp-group-0,0.582,0.702,0.577,0.366,0.455,0.756,0.515
original-fair_pp-group-1,0.699,0.736,0.388,0.317,0.521,0.812,0.485
original-fair_pp-delta,-0.117,-0.034,0.189,0.049,-0.066,-0.056,0.066
original-fair_adv-all,0.655,0.729,0.485,0.422,0.579,0.727,0.000
original-fair_adv-group-0,0.649,0.703,0.577,0.485,0.616,0.695,0.515
original-fair_adv-group-1,0.661,0.737,0.388,0.355,0.521,0.750,0.485
original-fair_adv-delta,-0.012,-0.034,0.189,0.129,0.095,-0.055,0.095
original-fair_resample-all,0.647,0.710,0.485,0.440,0.590,0.701,0.000
original-fair_resample-group-0,0.634,0.693,0.577,0.490,0.607,0.671,0.515
original-fair_resample-group-1,0.661,0.723,0.388,0.388,0.563,0.723,0.485
original-fair_resample-delta,-0.027,-0.031,0.189,0.102,0.044,-0.052,0.052
adv-clean-all,0.690,0.739,0.485,0.477,0.672,0.706,0.000
adv-clean-group-0,0.670,0.694,0.577,0.660,0.786,0.512,0.515
adv-clean-group-1,0.710,0.733,0.388,0.284,0.493,0.848,0.485
adv-clean-delta,-0.040,-0.039,0.189,0.376,0.293,-0.336,0.336
adv-clean-fair_reg-all,0.653,0.714,0.485,0.515,0.672,0.634,0.000
adv-clean-fair_reg-group-0,0.660,0.693,0.577,0.567,0.696,0.610,0.515
adv-clean-fair_reg-group-1,0.645,0.735,0.388,0.459,0.634,0.652,0.485
adv-clean-fair_reg-delta,0.015,-0.042,0.189,0.108,0.063,-0.042,0.063
adv-clean-fair_pp-all,0.637,0.708,0.485,0.557,0.699,0.577,0.000
adv-clean-fair_pp-group-0,0.644,0.694,0.577,0.603,0.714,0.549,0.515
adv-clean-fair_pp-group-1,0.628,0.733,0.388,0.508,0.676,0.598,0.485
adv-clean-fair_pp-delta,0.016,-0.039,0.189,0.095,0.038,-0.049,0.049
adv-clean-fair_adv-all,0.650,0.723,0.485,0.454,0.607,0.691,0.000
adv-clean-fair_adv-group-0,0.644,0.693,0.577,0.531,0.652,0.634,0.515
adv-clean-fair_adv-group-1,0.656,0.734,0.388,0.372,0.535,0.732,0.485
adv-clean-fair_adv-delta,-0.011,-0.041,0.189,0.159,0.117,-0.098,0.117
adv-clean-fair_resample-all,0.653,0.707,0.485,0.440,0.596,0.706,0.000
adv-clean-fair_resample-group-0,0.634,0.689,0.577,0.510,0.625,0.646,0.515
adv-clean-fair_resample-group-1,0.672,0.704,0.388,0.366,0.549,0.750,0.485
adv-clean-fair_resample-delta,-0.038,-0.016,0.189,0.144,0.076,-0.104,0.104
adv-all-all,0.562,0.601,0.485,0.393,0.454,0.665,0.000
adv-all-group-0,0.521,0.696,0.577,0.180,0.241,0.902,0.515
adv-all-group-1,0.607,0.728,0.388,0.617,0.789,0.491,0.485
adv-all-delta,-0.086,-0.033,0.189,-0.437,-0.548,0.411,0.548
adv-all-fair_reg-all,0.671,0.729,0.485,0.538,0.716,0.629,0.000
adv-all-fair_reg-group-0,0.686,0.695,0.577,0.644,0.786,0.549,0.515
adv-all-fair_reg-group-1,0.656,0.730,0.388,0.426,0.606,0.688,0.485
adv-all-fair_reg-delta,0.030,-0.035,0.189,0.218,0.180,-0.139,0.180
adv-all-fair_pp-all,0.660,0.728,0.485,0.469,0.634,0.686,0.000
adv-all-fair_pp-group-0,0.639,0.696,0.577,0.577,0.688,0.573,0.515
adv-all-fair_pp-group-1,0.683,0.728,0.388,0.355,0.549,0.768,0.485
adv-all-fair_pp-delta,-0.044,-0.033,0.189,0.222,0.138,-0.195,0.195
adv-all-fair_adv-all,0.631,0.708,0.485,0.472,0.607,0.655,0.000
adv-all-fair_adv-group-0,0.624,0.694,0.577,0.500,0.607,0.646,0.515
adv-all-fair_adv-group-1,0.639,0.729,0.388,0.443,0.606,0.661,0.485
adv-all-fair_adv-delta,-0.016,-0.034,0.189,0.057,0.002,-0.014,0.014
adv-all-fair_resample-all,0.653,0.715,0.485,0.499,0.656,0.649,0.000
adv-all-fair_resample-group-0,0.639,0.692,0.577,0.557,0.670,0.598,0.515
adv-all-fair_resample-group-1,0.667,0.730,0.388,0.437,0.634,0.688,0.485
adv-all-fair_resample-delta,-0.027,-0.038,0.189,0.120,0.036,-0.090,0.090
adv-konstantinov-all,0.562,0.601,0.485,0.393,0.454,0.665,0.400
adv-konstantinov-group-0,0.521,0.696,0.577,0.180,0.241,0.902,0.515
adv-konstantinov-group-1,0.607,0.728,0.388,0.617,0.789,0.491,0.485
adv-konstantinov-delta,-0.086,-0.033,0.189,-0.437,-0.548,0.411,0.548
adv-konstantinov-fair_reg-all,0.671,0.729,0.485,0.538,0.716,0.629,0.000
adv-konstantinov-fair_reg-group-0,0.686,0.695,0.577,0.644,0.786,0.549,0.515
adv-konstantinov-fair_reg-group-1,0.656,0.730,0.388,0.426,0.606,0.688,0.485
adv-konstantinov-fair_reg-delta,0.030,-0.035,0.189,0.218,0.180,-0.139,0.180
adv-konstantinov-fair_pp-all,0.660,0.728,0.485,0.469,0.634,0.686,0.000
adv-konstantinov-fair_pp-group-0,0.639,0.696,0.577,0.577,0.688,0.573,0.515
adv-konstantinov-fair_pp-group-1,0.683,0.728,0.388,0.355,0.549,0.768,0.485
adv-konstantinov-fair_pp-delta,-0.044,-0.033,0.189,0.222,0.138,-0.195,0.195
adv-konstantinov-fair_adv-all,0.631,0.708,0.485,0.472,0.607,0.655,0.000
adv-konstantinov-fair_adv-group-0,0.624,0.694,0.577,0.500,0.607,0.646,0.515
adv-konstantinov-fair_adv-group-1,0.639,0.729,0.388,0.443,0.606,0.661,0.485
adv-konstantinov-fair_adv-delta,-0.016,-0.034,0.189,0.057,0.002,-0.014,0.014
adv-konstantinov-fair_resample-all,0.653,0.729,0.485,0.483,0.639,0.665,0.000
adv-konstantinov-fair_resample-group-0,0.639,0.710,0.577,0.546,0.661,0.610,0.515
adv-konstantinov-fair_resample-group-1,0.667,0.733,0.388,0.415,0.606,0.705,0.485
adv-konstantinov-fair_resample-delta,-0.027,-0.022,0.189,0.131,0.055,-0.096,0.096
adv-selected-all,0.690,0.739,0.485,0.477,0.672,0.706,0.000
adv-selected-group-0,0.670,0.694,0.577,0.660,0.786,0.512,0.515
adv-selected-group-1,0.710,0.733,0.388,0.284,0.493,0.848,0.485
adv-selected-delta,-0.040,-0.039,0.189,0.376,0.293,-0.336,0.336
adv-selected-fair_reg-all,0.653,0.714,0.485,0.515,0.672,0.634,0.000
adv-selected-fair_reg-group-0,0.660,0.693,0.577,0.567,0.696,0.610,0.515
adv-selected-fair_reg-group-1,0.645,0.735,0.388,0.459,0.634,0.652,0.485
adv-selected-fair_reg-delta,0.015,-0.042,0.189,0.108,0.063,-0.042,0.063
adv-selected-fair_pp-all,0.637,0.708,0.485,0.557,0.699,0.577,0.000
adv-selected-fair_pp-group-0,0.644,0.694,0.577,0.603,0.714,0.549,0.515
adv-selected-fair_pp-group-1,0.628,0.733,0.388,0.508,0.676,0.598,0.485
adv-selected-fair_pp-delta,0.016,-0.039,0.189,0.095,0.038,-0.049,0.049
adv-selected-fair_adv-all,0.650,0.723,0.485,0.454,0.607,0.691,0.667
adv-selected-fair_adv-group-0,0.644,0.693,0.577,0.531,0.652,0.634,0.515
adv-selected-fair_adv-group-1,0.656,0.734,0.388,0.372,0.535,0.732,0.485
adv-selected-fair_adv-delta,-0.011,-0.041,0.189,0.159,0.117,-0.098,0.117
adv-selected-fair_resample-all,0.637,0.706,0.485,0.435,0.574,0.696,0.000
adv-selected-fair_resample-group-0,0.613,0.690,0.577,0.448,0.554,0.695,0.515
adv-selected-fair_resample-group-1,0.661,0.730,0.388,0.421,0.606,0.696,0.485
adv-selected-fair_resample-delta,-0.048,-0.040,0.189,0.028,-0.052,-0.001,0.052
adv-voting-all,0.626,0.688,0.485,0.451,0.579,0.670,0.000
adv-voting-group-0,0.619,0.703,0.577,0.443,0.554,0.707,0.515
adv-voting-group-1,0.634,0.700,0.388,0.459,0.620,0.643,0.485
adv-voting-delta,-0.015,0.003,0.189,-0.016,-0.066,0.064,0.066
adv-voting-fair_reg-all,0.573,0.643,0.485,0.499,0.574,0.572,0.000
adv-voting-fair_reg-group-0,0.577,0.704,0.577,0.381,0.464,0.732,0.515
adv-voting-fair_reg-group-1,0.568,0.709,0.388,0.623,0.746,0.455,0.485
adv-voting-fair_reg-delta,0.009,-0.005,0.189,-0.242,-0.282,0.276,0.282
adv-voting-fair_pp-all,0.626,0.708,0.485,0.605,0.738,0.521,0.027
adv-voting-fair_pp-group-0,0.644,0.694,0.577,0.665,0.768,0.476,0.515
adv-voting-fair_pp-group-1,0.607,0.719,0.388,0.541,0.690,0.554,0.485
adv-voting-fair_pp-delta,0.038,-0.024,0.189,0.124,0.078,-0.078,0.078
adv-voting-fair_adv-all,0.589,0.653,0.485,0.451,0.541,0.634,0.000
adv-voting-fair_adv-group-0,0.582,0.703,0.577,0.356,0.446,0.768,0.515
adv-voting-fair_adv-group-1,0.596,0.704,0.388,0.552,0.690,0.536,0.485
adv-voting-fair_adv-delta,-0.013,-0.001,0.189,-0.196,-0.244,0.233,0.244
adv-voting-fair_resample-all,0.560,0.617,0.485,0.416,0.475,0.639,0.000
adv-voting-fair_resample-group-0,0.510,0.680,0.577,0.242,0.286,0.817,0.515
adv-voting-fair_resample-group-1,0.612,0.718,0.388,0.601,0.775,0.509,0.485
adv-voting-fair_resample-delta,-0.102,-0.038,0.189,-0.359,-0.489,0.308,0.489
adv-TERM-all,0.592,0.588,0.485,0.236,0.322,0.845,0.000
adv-TERM-group-0,0.505,0.567,0.577,0.144,0.196,0.927,0.515
adv-TERM-group-1,0.683,0.658,0.388,0.333,0.521,0.786,0.485
adv-TERM-delta,-0.178,-0.091,0.189,-0.189,-0.325,0.141,0.325
adv-TERM-fair_pp-all,0.594,0.591,0.485,0.244,0.333,0.840,0.000
