method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
original-all,0.787,0.859,0.352,0.315,0.644,0.864,0.000
original-group-0,0.763,0.849,0.427,0.419,0.713,0.801,0.523
original-group-1,0.812,0.857,0.270,0.201,0.525,0.918,0.477
original-delta,-0.049,-0.009,0.157,0.217,0.188,-0.118,0.188
original-fair_reg-all,0.753,0.843,0.352,0.445,0.782,0.737,0.000
original-fair_reg-group-0,0.764,0.849,0.427,0.448,0.748,0.776,0.523
original-fair_reg-group-1,0.741,0.857,0.270,0.443,0.840,0.704,0.477
original-fair_reg-delta,0.023,-0.009,0.157,0.005,-0.092,0.072,0.092
original-fair_pp-all,0.771,0.844,0.352,0.310,0.615,0.856,0.000
original-fair_pp-group-0,0.749,0.849,0.427,0.309,0.568,0.884,0.523
original-fair_pp-group-1,0.795,0.857,0.270,0.311,0.697,0.831,0.477
original-fair_pp-delta,-0.046,-0.009,0.157,-0.003,-0.129,0.053,0.129
original-fair_adv-all,0.784,0.857,0.352,0.310,0.634,0.866,0.000
original-fair_adv-group-0,0.760,0.849,0.427,0.378,0.662,0.833,0.523
original-fair_adv-group-1,0.810,0.857,0.270,0.236,0.585,0.893,0.477
original-fair_adv-delta,-0.050,-0.008,0.157,0.143,0.077,-0.060,0.077
original-fair_resample-all,0.779,0.852,0.352,0.310,0.626,0.863,0.000
original-fair_resample-group-0,0.755,0.848,0.427,0.347,0.620,0.856,0.523
original-fair_resample-group-1,0.806,0.857,0.270,0.268,0.638,0.868,0.477
original-fair_resample-delta,-0.051,-0.009,0.157,0.078,-0.018,-0.012,0.018
adv-clean-all,0.786,0.859,0.352,0.321,0.653,0.859,0.000
adv-clean-group-0,0.763,0.848,0.427,0.423,0.717,0.796,0.523
adv-clean-group-1,0.812,0.857,0.270,0.210,0.540,0.912,0.477
adv-clean-delta,-0.049,-0.009,0.157,0.213,0.177,-0.116,0.177
adv-clean-fair_reg-all,0.752,0.843,0.352,0.446,0.783,0.736,0.000
adv-clean-fair_reg-group-0,0.764,0.848,0.427,0.448,0.748,0.776,0.523
adv-clean-fair_reg-group-1,0.740,0.857,0.270,0.445,0.843,0.702,0.477
adv-clean-fair_reg-delta,0.024,-0.009,0.157,0.003,-0.095,0.073,0.095
adv-clean-fair_pp-all,0.771,0.843,0.352,0.307,0.611,0.858,0.000
adv-clean-fair_pp-group-0,0.748,0.848,0.427,0.305,0.562,0.887,0.523
adv-clean-fair_pp-group-1,0.795,0.857,0.270,0.310,0.696,0.832,0.477
adv-clean-fair_pp-delta,-0.047,-0.009,0.157,-0.006,-0.134,0.055,0.134
adv-clean-fair_adv-all,0.784,0.856,0.352,0.319,0.646,0.859,0.000
adv-clean-fair_adv-group-0,0.761,0.849,0.427,0.383,0.668,0.830,0.523
adv-clean-fair_adv-group-1,0.809,0.857,0.270,0.248,0.607,0.884,0.477
adv-clean-fair_adv-delta,-0.049,-0.008,0.157,0.135,0.062,-0.055,0.062
adv-clean-fair_resample-all,0.778,0.852,0.352,0.319,0.637,0.854,0.000
adv-clean-fair_resample-group-0,0.754,0.848,0.427,0.351,0.624,0.851,0.523
adv-clean-fair_resample-group-1,0.803,0.858,0.270,0.283,0.660,0.856,0.477
adv-clean-fair_resample-delta,-0.049,-0.010,0.157,0.068,-0.036,-0.004,0.036
adv-all-all,0.760,0.829,0.352,0.339,0.640,0.825,0.000
adv-all-group-0,0.746,0.848,0.427,0.300,0.554,0.889,0.523
adv-all-group-1,0.775,0.858,0.270,0.381,0.789,0.770,0.477
adv-all-delta,-0.029,-0.011,0.157,-0.081,-0.235,0.119,0.235
adv-all-fair_reg-all,0.769,0.858,0.352,0.444,0.802,0.751,0.000
adv-all-fair_reg-group-0,0.753,0.847,0.427,0.527,0.828,0.697,0.523
adv-all-fair_reg-group-1,0.786,0.859,0.270,0.352,0.756,0.797,0.477
adv-all-fair_reg-delta,-0.033,-0.012,0.157,0.175,0.072,-0.100,0.100
adv-all-fair_pp-all,0.785,0.858,0.352,0.343,0.681,0.841,0.000
adv-all-fair_pp-group-0,0.763,0.848,0.427,0.423,0.718,0.796,0.523
adv-all-fair_pp-group-1,0.809,0.858,0.270,0.254,0.617,0.880,0.477
adv-all-fair_pp-delta,-0.046,-0.011,0.157,0.169,0.101,-0.083,0.101
adv-all-fair_adv-all,0.771,0.846,0.352,0.347,0.668,0.828,0.000
adv-all-fair_adv-group-0,0.754,0.847,0.427,0.355,0.628,0.848,0.523
adv-all-fair_adv-group-1,0.790,0.859,0.270,0.338,0.737,0.810,0.477
adv-all-fair_adv-delta,-0.036,-0.012,0.157,0.017,-0.109,0.038,0.109
adv-all-fair_resample-all,0.777,0.852,0.352,0.349,0.679,0.830,0.000
adv-all-fair_resample-group-0,0.760,0.848,0.427,0.382,0.667,0.830,0.523
adv-all-fair_resample-group-1,0.796,0.858,0.270,0.313,0.701,0.830,0.477
adv-all-fair_resample-delta,-0.035,-0.010,0.157,0.069,-0.034,-0.001,0.034
adv-konstantinov-all,0.760,0.829,0.352,0.339,0.640,0.825,0.294
adv-konstantinov-group-0,0.746,0.848,0.427,0.300,0.554,0.889,0.523
adv-konstantinov-group-1,0.775,0.858,0.270,0.381,0.789,0.770,0.477
adv-konstantinov-delta,-0.029,-0.011,0.157,-0.081,-0.235,0.119,0.235
adv-konstantinov-fair_reg-all,0.769,0.858,0.352,0.444,0.802,0.751,0.000
adv-konstantinov-fair_reg-group-0,0.753,0.847,0.427,0.527,0.828,0.697,0.523
adv-konstantinov-fair_reg-group-1,0.786,0.859,0.270,0.352,0.756,0.797,0.477
adv-konstantinov-fair_reg-delta,-0.033,-0.012,0.157,0.175,0.072,-0.100,0.100
adv-konstantinov-fair_pp-all,0.785,0.858,0.352,0.343,0.681,0.841,0.000
adv-konstantinov-fair_pp-group-0,0.763,0.848,0.427,0.423,0.718,0.796,0.523
adv-konstantinov-fair_pp-group-1,0.809,0.858,0.270,0.254,0.617,0.880,0.477
adv-konstantinov-fair_pp-delta,-0.046,-0.011,0.157,0.169,0.101,-0.083,0.101
adv-konstantinov-fair_adv-all,0.771,0.846,0.352,0.347,0.668,0.828,0.000
adv-konstantinov-fair_adv-group-0,0.754,0.847,0.427,0.355,0.628,0.848,0.523
adv-konstantinov-fair_adv-group-1,0.790,0.859,0.270,0.338,0.737,0.810,0.477
adv-konstantinov-fair_adv-delta,-0.036,-0.012,0.157,0.017,-0.109,0.038,0.109
adv-konstantinov-fair_resample-all,0.777,0.852,0.352,0.351,0.682,0.829,0.000
adv-konstantinov-fair_resample-group-0,0.761,0.848,0.427,0.385,0.670,0.828,0.523
adv-konstantinov-fair_resample-group-1,0.795,0.858,0.270,0.314,0.703,0.829,0.477
adv-konstantinov-fair_resample-delta,-0.035,-0.010,0.157,0.070,-0.033,-0.001,0.033
adv-selected-all,0.786,0.859,0.352,0.316,0.645,0.863,0.000
adv-selected-group-0,0.763,0.848,0.427,0.416,0.709,0.803,0.523
adv-selected-group-1,0.812,0.857,0.270,0.206,0.533,0.915,0.477
adv-selected-delta,-0.049,-0.009,0.157,0.209,0.176,-0.112,0.176
adv-selected-fair_reg-all,0.756,0.843,0.352,0.436,0.772,0.747,0.000
adv-selected-fair_reg-group-0,0.764,0.848,0.427,0.438,0.737,0.784,0.523
adv-selected-fair_reg-group-1,0.747,0.857,0.270,0.433,0.833,0.715,0.477
adv-selected-fair_reg-delta,0.017,-0.009,0.157,0.005,-0.096,0.069,0.096
adv-selected-fair_pp-all,0.771,0.843,0.352,0.310,0.616,0.856,0.000
adv-selected-fair_pp-group-0,0.749,0.848,0.427,0.309,0.569,0.884,0.523
adv-selected-fair_pp-group-1,0.795,0.857,0.270,0.312,0.699,0.831,0.477
adv-selected-fair_pp-delta,-0.046,-0.009,0.157,-0.002,-0.130,0.053,0.130
adv-selected-fair_adv-all,0.784,0.856,0.352,0.313,0.637,0.864,0.346
adv-selected-fair_adv-group-0,0.760,0.848,0.427,0.380,0.664,0.832,0.523
adv-selected-fair_adv-group-1,0.810,0.857,0.270,0.239,0.592,0.891,0.477
adv-selected-fair_adv-delta,-0.050,-0.009,0.157,0.141,0.072,-0.059,0.072
adv-selected-fair_resample-all,0.779,0.852,0.352,0.313,0.631,0.860,0.000
adv-selected-fair_resample-group-0,0.756,0.847,0.427,0.350,0.623,0.854,0.523
adv-selected-fair_resample-group-1,0.805,0.858,0.270,0.273,0.644,0.864,0.477
adv-selected-fair_resample-delta,-0.049,-0.010,0.157,0.077,-0.020,-0.010,0.020
adv-voting-all,0.782,0.852,0.352,0.318,0.643,0.858,0.000
adv-voting-group-0,0.760,0.846,0.427,0.369,0.652,0.841,0.523
adv-voting-group-1,0.807,0.857,0.270,0.262,0.627,0.873,0.477
adv-voting-delta,-0.046,-0.010,0.157,0.107,0.025,-0.032,0.032
adv-voting-fair_reg-all,0.734,0.824,0.352,0.452,0.763,0.717,0.024
adv-voting-fair_reg-group-0,0.764,0.848,0.427,0.400,0.692,0.818,0.523
adv-voting-fair_reg-group-1,0.700,0.856,0.270,0.509,0.888,0.631,0.477
adv-voting-fair_reg-delta,0.064,-0.009,0.157,-0.109,-0.196,0.187,0.196
adv-voting-fair_pp-all,0.771,0.839,0.352,0.262,0.547,0.892,0.074
adv-voting-fair_pp-group-0,0.739,0.848,0.427,0.259,0.497,0.919,0.523
adv-voting-fair_pp-group-1,0.805,0.854,0.270,0.266,0.633,0.869,0.477
adv-voting-fair_pp-delta,-0.067,-0.006,0.157,-0.008,-0.136,0.050,0.136
adv-voting-fair_adv-all,0.774,0.845,0.352,0.318,0.632,0.852,0.023
adv-voting-fair_adv-group-0,0.754,0.849,0.427,0.327,0.595,0.873,0.523
adv-voting-fair_adv-group-1,0.797,0.856,0.270,0.309,0.696,0.834,0.477
adv-voting-fair_adv-delta,-0.043,-0.007,0.157,0.018,-0.101,0.039,0.101
adv-voting-fair_resample-all,0.765,0.829,0.352,0.320,0.620,0.843,0.007
adv-voting-fair_resample-group-0,0.747,0.844,0.427,0.292,0.546,0.897,0.523
adv-voting-fair_resample-group-1,0.785,0.857,0.270,0.350,0.749,0.798,0.477
adv-voting-fair_resample-delta,-0.038,-0.013,0.157,-0.058,-0.203,0.099,0.203
adv-TERM-all,0.749,0.792,0.352,0.213,0.446,0.914,0.000
adv-TERM-group-0,0.700,0.812,0.427,0.171,0.349,0.961,0.523
adv-TERM-group-1,0.804,0.839,0.270,0.258,0.615,0.874,0.477
adv-TERM-delta,-0.104,-0.026,0.157,-0.087,-0.266,0.087,0.266
adv-TERM-fair_pp-all,0.775,0.838,0.352,0.333,0.652,0.841,0.000
adv-TERM-fair_pp-group-0,0.747,0.825,0.427,0.409,0.682,0.795,0.523
adv-TERM-fair_pp-group-1,0.805,0.838,0.270,0.249,0.600,0.880,0.477
adv-TERM-fair_pp-delta,-0.058,-0.013,0.157,0.159,0.082,-0.085,0.085
adv-TERM-fair_resample-all,0.757,0.812,0.352,0.214,0.460,0.919,0.000
adv-TERM-fair_resample-group-0,0.710,0.827,0.427,0.189,0.382,0.954,0.523
adv-TERM-fair_resample-group-1,0.809,0.843,0.270,0.242,0.595,0.888,0.477
adv-TERM-fair_resample-delta,-0.099,-0.016,0.157,-0.053,-0.213,0.066,0.213
adv-DRO-fair_reg-all,0.738,0.811,0.352,0.186,0.392,0.926,0.000
adv-DRO-fair_reg-group-0,0.711,0.807,0.427,0.262,0.468,0.892,0.523
adv-DRO-fair_reg-group-1,0.769,0.798,0.270,0.103,0.262,0.956,0.477
adv-DRO-fair_reg-delta,-0.058,0.009,0.157,0.159,0.206,-0.064,0.206
